Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.005212,8.00,71297.00,177.9276
AVG,0.020664,21.96,156463.42,245.6281
MEDIAN,0.017106,20.00,147413.50,239.6720
MAX,0.062324,54.00,317645.00,362.9012
STDEV,0.012321,10.41,61304.51,43.7395

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.021931,25,177358,240.3816
2,0.026466,28,175386,201.7870
3,0.013890,16,139766,217.9514
4,0.008212,12,97116,217.0163
5,0.008009,12,94183,228.0821
6,0.007969,12,98863,196.9207
7,0.012640,15,119568,233.2964
8,0.008569,12,88731,224.4156
9,0.007937,10,83106,183.2316
10,0.010192,13,100517,201.1488
11,0.026092,28,191340,238.1830
12,0.007318,11,97925,232.8705
13,0.030845,31,192682,260.5484
14,0.035742,36,211940,252.0581
15,0.018440,20,153472,231.9479
16,0.013558,15,118903,220.8576
17,0.010022,11,94311,190.5531
18,0.013780,15,108113,249.7657
19,0.029338,29,193075,272.6727
20,0.018999,21,144708,237.6058
21,0.008077,11,90154,258.8479
22,0.008577,11,86563,217.2010
23,0.014726,16,133673,245.9536
24,0.016017,18,136980,201.2056
25,0.016507,18,139891,282.6285
26,0.012764,14,103620,206.6953
27,0.022761,24,174070,279.5327
28,0.029218,31,210982,339.5084
29,0.010090,13,98321,206.7150
30,0.008888,13,110713,218.2845
31,0.011806,15,117829,221.9102
32,0.010194,9,80159,184.0987
33,0.010588,14,109995,217.9094
34,0.045439,41,295458,335.6644
35,0.016933,20,150181,249.8608
36,0.007424,11,95964,184.4517
37,0.009409,13,102364,213.5336
38,0.022910,25,168377,257.1878
39,0.016781,18,131624,244.8024
40,0.008732,9,80525,201.8283
41,0.032407,32,203565,321.1368
42,0.008453,10,91873,195.0052
43,0.017538,19,141227,347.7638
44,0.017406,20,154065,266.0159
45,0.037378,39,265291,234.5788
46,0.025554,26,173163,274.9750
47,0.019878,22,163116,255.6232
48,0.009890,14,109352,242.1346
49,0.022388,25,165232,255.7240
50,0.013267,16,122996,242.8104
51,0.012947,18,124762,255.9954
52,0.012236,16,120248,243.6767
53,0.014435,18,138539,206.8805
54,0.021530,24,162405,235.2355
55,0.015387,20,147895,263.4536
56,0.062324,54,317645,334.6234
57,0.030523,33,227028,327.6598
58,0.036754,37,258130,238.9624
59,0.032115,33,212838,257.7455
60,0.022259,27,183391,247.1642
61,0.032735,33,233358,262.7413
62,0.024202,28,204869,233.4757
63,0.013552,16,112103,213.1482
64,0.055892,51,302174,362.9012
65,0.041043,42,262762,324.0169
66,0.016256,19,137287,275.4041
67,0.015536,20,150966,212.4655
68,0.023150,23,157321,276.4768
69,0.009142,9,83793,193.1004
70,0.025704,25,170425,268.7628
71,0.011796,12,90305,194.5607
72,0.019369,22,148434,286.5551
73,0.043323,40,258802,288.6205
74,0.017279,20,136405,203.9304
75,0.022388,25,166250,329.1977
76,0.040991,39,261962,242.8834
77,0.045438,44,288311,323.4118
78,0.038672,31,197587,249.2446
79,0.015372,17,119024,259.2286
80,0.050913,44,293175,274.8097
81,0.035948,35,268225,209.3745
82,0.005212,8,72282,177.9276
83,0.006854,10,86848,194.0419
84,0.016526,20,147048,226.1702
85,0.018583,22,151722,319.3172
86,0.019894,18,130299,187.7923
87,0.011602,15,121126,218.4272
88,0.028995,28,185090,246.6139
89,0.010809,10,81562,245.8909
90,0.053283,45,313142,202.5857
91,0.017706,20,152078,195.5324
92,0.005402,8,71297,182.1990
93,0.023546,21,160956,272.3625
94,0.019529,22,149614,295.8627
95,0.015477,19,147779,232.4784
96,0.020825,23,160908,359.9532
97,0.013457,14,122210,215.1110
98,0.012061,14,113169,232.4231
99,0.020882,23,176914,221.9581
100,0.044547,42,277493,305.5729
