Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.004776,8.00,34548.00,169.4364
AVG,0.022930,38.81,123370.30,237.6356
MEDIAN,0.018365,33.50,107232.50,228.2369
MAX,0.103113,130.00,408907.00,340.0036
STDEV,0.016322,23.16,69124.56,40.6195

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.005867,11,43097,173.3530
2,0.057476,88,278075,322.5346
3,0.018060,33,105122,251.5363
4,0.019288,35,110866,194.6432
5,0.004778,9,34548,169.4364
6,0.065399,98,290596,247.1432
7,0.023045,41,136138,238.8758
8,0.009551,18,70169,196.0960
9,0.037913,63,197838,287.8210
10,0.015756,29,102088,228.2676
11,0.011970,22,77740,204.4520
12,0.010315,19,65511,220.6248
13,0.008395,16,56321,180.8213
14,0.013996,26,87500,202.8982
15,0.010772,20,70674,177.6611
16,0.007148,14,47781,193.1702
17,0.011369,22,66979,197.7875
18,0.009574,18,58497,251.4890
19,0.006390,12,46345,198.5944
20,0.011786,22,75317,247.6461
21,0.010581,20,68249,212.6677
22,0.026612,47,147091,213.0096
23,0.029602,51,162006,269.8802
24,0.018616,34,107173,227.3712
25,0.042229,70,212244,313.3002
26,0.033756,57,177904,222.1120
27,0.011280,21,73828,246.7306
28,0.042561,69,215433,201.5159
29,0.041535,65,210125,228.2061
30,0.019228,35,107292,206.9726
31,0.053442,85,255642,203.2480
32,0.013454,25,84012,201.2117
33,0.032564,45,144495,263.0081
34,0.013773,26,73393,217.4154
35,0.014544,27,89847,201.8219
36,0.004776,8,36472,198.0414
37,0.011716,22,79220,185.4256
38,0.025322,45,135341,230.9360
39,0.021758,40,118312,215.8903
40,0.008449,16,56692,239.8783
41,0.012485,23,74121,236.3560
42,0.043017,72,191282,307.3907
43,0.026144,47,144778,320.3090
44,0.017696,32,109267,324.6326
45,0.018205,33,104545,261.9172
46,0.019791,36,110920,204.7391
47,0.043751,72,208642,340.0036
48,0.010316,20,60264,242.2259
49,0.018653,34,110339,210.3333
50,0.020407,36,118861,300.8307
51,0.007589,14,51643,258.8183
52,0.021392,39,125062,235.0628
53,0.008586,16,55768,206.0082
54,0.013359,25,75470,217.8493
55,0.018372,33,103957,242.1368
56,0.026627,48,138747,274.3669
57,0.006647,12,41302,187.8555
58,0.042464,69,210698,218.2626
59,0.007019,13,42182,202.5746
60,0.016667,30,100913,269.8240
61,0.022763,41,126820,288.2621
62,0.043132,70,219138,258.3658
63,0.007474,14,43701,220.0446
64,0.019801,36,116484,280.5758
65,0.013946,26,83405,266.0759
66,0.035794,59,198114,221.1474
67,0.014755,27,90144,223.0730
68,0.021683,39,130833,193.6232
69,0.017000,31,99675,257.5620
70,0.033495,56,182532,260.3491
71,0.008338,16,54599,208.3457
72,0.011670,22,75000,205.6973
73,0.015738,29,98550,268.3935
74,0.008610,16,61248,224.8181
75,0.034744,58,182194,231.3277
76,0.062403,93,292151,236.0666
77,0.018358,34,105337,322.5508
78,0.068481,99,304911,184.9224
79,0.016883,31,96962,258.1997
80,0.036905,55,164901,328.9007
81,0.042106,70,198552,302.1519
82,0.010983,20,72914,214.8490
83,0.005413,10,36415,199.2242
84,0.008684,16,56842,205.6361
85,0.034218,57,186999,244.0275
86,0.027236,48,148709,274.0369
87,0.017428,32,102884,206.4149
88,0.023834,42,136854,227.0553
89,0.020311,37,115440,240.3918
90,0.103113,130,408907,266.4330
91,0.017358,31,109290,193.9126
92,0.022574,41,133345,338.2635
93,0.030723,51,158440,284.4727
94,0.009689,18,62132,217.4116
95,0.025694,46,144867,269.8093
96,0.051306,81,252580,289.8052
97,0.017948,33,112091,246.3900
98,0.032606,55,180273,195.8857
99,0.027197,49,138833,209.8221
100,0.018807,34,99230,254.2748
