Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.006509,16.00,14073.00,201.6172
AVG,0.094397,142.92,166328.17,448.8935
MEDIAN,0.081133,136.00,154998.50,453.2859
MAX,0.383579,420.00,489169.00,803.4249
STDEV,0.067230,75.54,90472.15,108.4725

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.080695,141,160234,463.8327
2,0.052517,100,108859,434.9296
3,0.032583,66,69409,351.9176
4,0.071088,120,151330,442.4392
5,0.179555,250,303539,384.9764
6,0.314372,361,426223,519.0087
7,0.104144,160,199539,384.7703
8,0.130171,192,204529,319.1501
9,0.089576,136,154256,357.9604
10,0.104803,155,193717,519.6728
11,0.030846,56,67754,266.3744
12,0.118762,180,197977,601.1083
13,0.121691,176,218333,387.4304
14,0.164811,231,270920,428.2778
15,0.310834,349,433246,750.7449
16,0.047258,83,96686,464.8270
17,0.050549,86,97146,482.9902
18,0.012749,31,26402,251.7894
19,0.118827,173,208595,441.6279
20,0.077313,119,147737,437.1203
21,0.006509,16,14073,201.6172
22,0.075370,133,155933,539.0176
23,0.043736,80,93095,416.0461
24,0.075427,133,150182,317.5704
25,0.084711,140,154058,396.5807
26,0.067208,118,137658,464.5909
27,0.081084,143,159897,513.0843
28,0.150985,232,247981,528.3267
29,0.099119,158,194629,371.4726
30,0.074491,140,131159,465.9794
31,0.171258,239,276588,433.9488
32,0.041487,73,86420,481.2228
33,0.100931,153,184190,545.9304
34,0.383579,420,489169,803.4249
35,0.261460,316,368437,557.6756
36,0.034529,65,69636,455.0634
37,0.071228,127,133943,386.9615
38,0.041248,76,87486,319.1707
39,0.029435,61,72153,452.4133
40,0.209256,269,313804,464.9779
41,0.046769,85,91777,522.0391
42,0.083289,136,147268,469.2619
43,0.063757,106,122443,536.1430
44,0.021274,42,48145,352.9431
45,0.122511,186,224434,320.7442
46,0.087590,152,168687,357.6355
47,0.024247,52,49308,432.9959
48,0.158710,225,255653,565.3023
49,0.088084,149,177065,427.0600
50,0.280389,340,392702,509.4388
51,0.177493,241,287153,492.4592
52,0.094041,148,167718,471.0268
53,0.086039,135,165939,566.7064
54,0.046321,82,106023,353.3663
55,0.107799,177,204234,649.2861
56,0.083428,144,162993,466.7582
57,0.119207,152,180882,468.7594
58,0.055237,96,112044,465.1063
59,0.063009,102,132677,510.2615
60,0.182668,245,300223,412.6754
61,0.166548,240,281746,480.9664
62,0.085412,148,164835,515.7008
63,0.060325,107,128777,263.4321
64,0.088379,147,180753,521.6606
65,0.148387,215,259256,557.8123
66,0.122000,174,214354,392.5159
67,0.054864,94,112977,500.0975
68,0.128930,193,202128,603.0604
69,0.048092,89,104784,350.7364
70,0.120433,181,227843,454.4791
71,0.069709,116,132864,475.0636
72,0.081182,135,157854,580.3977
73,0.025961,56,49290,281.2189
74,0.051044,98,111819,592.8320
75,0.034858,68,88197,332.4149
76,0.068525,119,140195,430.3914
77,0.079738,117,141657,543.5992
78,0.046843,79,101299,405.4823
79,0.046378,87,93339,357.6409
80,0.033105,62,69668,378.5648
81,0.110693,179,218812,425.3114
82,0.028264,54,57814,232.8870
83,0.087250,151,155741,710.6689
84,0.110087,174,198766,398.5632
85,0.054352,100,131687,400.3109
86,0.091927,150,171692,695.9426
87,0.047959,88,116957,355.4864
88,0.135284,194,236132,405.5131
89,0.040999,77,78886,560.8513
90,0.113394,183,211908,448.2749
91,0.048919,95,101945,435.2685
92,0.081611,137,169647,351.6013
93,0.052023,96,118679,454.1585
94,0.096999,146,171300,532.7607
95,0.051377,88,84238,469.6153
96,0.217060,275,333146,513.5200
97,0.037615,71,77983,251.3504
98,0.012911,25,24222,239.8081
99,0.027310,46,53035,362.6055
100,0.124928,186,202302,470.7959
