Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,99.00%,99/100,-,-
MIN,0.007447,7.00,119043.00,164.9184
AVG,0.023678,18.42,253679.21,214.9586
MEDIAN,0.020134,17.00,232267.00,212.9412
MAX,0.058503,38.00,470316.00,327.5080
STDEV,0.012148,7.32,86568.29,28.2949

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.020134,17,238612,208.5751
2,0.021885,18,244602,242.1536
3,0.046948,29,392770,220.9688
4,0.021066,18,237392,231.7612
5,0.024621,20,286803,238.1495
6,0.018904,16,229573,227.9805
7,0.011239,10,146938,218.6570
8,0.013726,12,188408,165.3046
9,0.013961,12,175557,209.2269
10,0.017600,15,215503,176.2293
11,0.007507,7,119172,180.9169
12,0.050362,32,428870,232.7915
13,0.016287,14,212593,225.5094
14,0.029987,23,323966,191.5195
15,0.020667,16,228673,214.0885
16,0.017541,15,206038,218.3243
17,0.016147,14,195112,195.4300
18,0.029276,23,305920,217.4894
19,0.027637,22,294033,288.8376
20,0.012493,11,167452,193.2366
21,0.016225,14,208347,244.1066
22,0.037941,27,361060,327.5080
23,0.037647,23,319025,216.4212
24,0.048076,33,417527,232.5689
25,0.019686,17,220971,217.8133
26,0.021601,18,252201,239.7604
27,0.017426,15,226551,202.3185
28,0.023016,19,251926,208.4902
29,0.023888,20,257999,217.5455
30,0.022460,19,262699,174.5581
31,0.015008,13,180765,197.5100
32,0.013723,12,181443,179.7568
33,0.032008,24,320185,213.4788
34,0.016145,14,206462,204.6765
35,0.008581,8,128589,173.1395
36,0.021752,18,244354,209.7554
37,0.009558,9,140413,197.8917
38,0.052473,35,441888,195.3326
39,0.008680,8,125015,164.9184
40,0.037576,27,355050,200.9382
41,0.014883,13,193115,206.0257
42,0.026239,21,287767,213.0749
43,0.017452,15,209209,204.9037
44,0.032801,24,325628,213.4006
45,0.017349,15,201974,295.8084
46,0.017223,15,208372,238.7340
47,0.016093,14,203414,205.4188
48,0.010892,10,151553,199.8520
49,0.034093,26,324123,223.4611
50,0.011084,10,157112,175.6801
51,0.013495,12,171107,230.1645
52,0.044605,31,396116,284.6021
53,0.058503,38,463705,297.3104
54,0.025775,21,275514,220.7708
55,0.012018,11,160428,205.8423
56,0.034822,26,339804,269.8373
57,0.038790,28,361838,239.6493
58,0.049123,33,420612,183.3035
59,0.018748,16,220329,206.8437
60,0.018562,16,217692,216.6932
61,0.035577,26,343360,221.1458
62,0.011035,10,158721,193.1616
63,0.014914,13,193821,203.8500
64,0.013686,12,174481,203.3995
65,0.015681,13,191599,228.8163
66,0.017370,15,209667,223.4408
67,0.024581,20,274291,221.9736
68,0.041769,29,389490,228.4667
69,0.036199,26,348940,211.7169
70,0.007447,7,122254,174.9182
71,0.017563,15,213903,205.6080
72,0.035733,26,347775,244.5098
73,0.027384,21,270837,215.0769
74,0.022479,19,269108,184.2030
75,0.020032,17,238591,181.0440
76,0.056139,37,470316,254.7107
77,0.026472,21,288898,194.4733
78,0.044983,31,403099,208.9681
79,0.020189,17,237034,203.0583
80,0.023191,19,261968,206.9577
81,0.030954,23,334620,195.4713
82,0.014875,13,191042,220.4795
83,0.021649,17,233225,230.9601
84,0.018565,16,227373,212.9412
85,0.012226,11,169513,216.3692
86,0.026538,21,289905,225.3163
87,0.013320,12,168767,201.0832
88,0.020142,17,227269,190.5001
89,0.059865,39,470208,inf
90,0.032016,24,325803,254.9265
91,0.017103,15,207292,200.6147
92,0.050086,34,433271,252.0456
93,0.008684,8,144619,208.7798
94,0.009828,9,144122,178.8344
95,0.007587,7,119043,182.9364
96,0.018706,16,232267,195.8905
97,0.022252,19,257474,215.9863
98,0.015889,14,189885,199.4799
99,0.042281,29,386546,223.2327
100,0.015012,13,194184,218.5426
