Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.009683,8.00,31283.00,168.2732
AVG,0.034988,18.16,62087.24,213.3932
MEDIAN,0.024494,15.00,54266.00,210.4544
MAX,0.369271,97.00,266988.00,289.3282
STDEV,0.040387,11.11,30272.86,26.4280

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.029283,17,58847,226.2696
2,0.035748,20,64184,173.0235
3,0.046550,21,66787,238.1403
4,0.016750,11,44163,168.2732
5,0.020379,12,46700,201.4360
6,0.020173,12,43612,212.3536
7,0.023895,15,54138,185.7899
8,0.027417,16,55263,193.9451
9,0.040908,21,74206,269.9142
10,0.027315,16,56080,175.6449
11,0.020970,13,47001,227.5930
12,0.019196,12,46692,194.4155
13,0.017742,12,40773,244.9683
14,0.018580,12,46093,180.1788
15,0.022345,14,50681,221.2946
16,0.020928,13,49900,190.9746
17,0.035643,19,70818,212.3441
18,0.069725,32,92543,218.5152
19,0.027060,16,54522,257.3777
20,0.011770,9,37974,216.0389
21,0.015803,11,42597,203.4737
22,0.013336,10,38609,242.5932
23,0.025864,16,55948,209.5083
24,0.030249,19,61651,288.7949
25,0.036078,20,71454,246.7989
26,0.369271,97,266988,289.3282
27,0.018894,13,47290,249.0983
28,0.038041,21,72016,227.3924
29,0.023162,15,51694,214.9035
30,0.030285,18,61082,228.0805
31,0.026150,16,59646,200.0197
32,0.020936,13,48939,199.6504
33,0.099630,39,120464,225.4291
34,0.029276,17,59987,236.3786
35,0.027736,16,54394,223.8637
36,0.022238,14,51982,197.7152
37,0.033320,20,66947,199.0651
38,0.061352,29,95826,218.3614
39,0.017889,12,44491,212.0666
40,0.017145,12,40825,219.2084
41,0.019202,13,47405,207.0147
42,0.056523,27,87501,201.3963
43,0.030007,18,63972,218.3560
44,0.015940,11,44125,185.3595
45,0.014053,10,40139,185.8405
46,0.022083,14,51508,216.2245
47,0.029441,18,59350,222.3464
48,0.011986,9,36735,201.8643
49,0.009995,8,33968,178.9567
50,0.017189,12,44037,217.4507
51,0.050331,25,83226,211.7453
52,0.009683,8,31829,192.6776
53,0.067936,30,98521,280.8937
54,0.068814,30,97810,188.9872
55,0.021948,14,49724,262.1701
56,0.017927,12,44673,188.8828
57,0.017757,12,45256,173.8099
58,0.160027,54,163873,236.8531
59,0.019756,13,46439,207.8991
60,0.075654,34,98972,226.9482
61,0.015125,11,40921,174.6782
62,0.015751,11,42303,214.1457
63,0.026963,17,55682,234.2175
64,0.056625,27,89435,268.2271
65,0.067180,30,100302,220.2958
66,0.018102,12,44937,221.0441
67,0.030317,18,63987,241.7128
68,0.032395,19,63995,196.6308
69,0.019391,13,44931,229.7908
70,0.012036,9,36552,188.7733
71,0.013051,10,37817,200.9622
72,0.029889,18,63727,202.2446
73,0.031575,19,62529,211.4006
74,0.021157,14,50068,182.9876
75,0.025092,15,56730,201.0372
76,0.030188,18,64326,200.4404
77,0.016969,12,43188,206.3983
78,0.038071,21,71625,218.4201
79,0.023026,15,50145,248.3868
80,0.053499,26,87342,278.9822
81,0.089848,38,116263,189.8912
82,0.015781,11,43677,177.3407
83,0.031347,19,67093,197.4704
84,0.065586,30,96012,262.4826
85,0.018887,13,45404,193.4172
86,0.019786,13,47009,215.8087
87,0.042554,22,77373,190.6080
88,0.013068,10,36396,196.4363
89,0.077930,34,107568,231.4897
90,0.053474,26,86580,211.8936
91,0.022028,14,52380,195.5376
92,0.036349,21,69488,214.4916
93,0.029235,18,61195,208.9489
94,0.017364,12,41514,191.7560
95,0.009840,8,31283,205.3305
96,0.011875,9,35981,183.6849
97,0.015818,11,41354,200.0749
98,0.020301,13,49547,199.3916
99,0.044594,24,75145,203.7232
100,0.041477,22,74050,182.8708
