Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.005680,8.00,65745.00,166.2837
AVG,0.024517,23.46,155337.61,226.3750
MEDIAN,0.019361,21.00,140252.50,220.1294
MAX,0.123252,81.00,473736.00,360.0494
STDEV,0.018367,12.91,74094.21,34.8863

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.025344,27,180698,197.7227
2,0.012327,14,100873,232.6870
3,0.015024,17,123116,218.2125
4,0.024584,24,161807,218.9983
5,0.015550,18,128952,208.8085
6,0.014791,17,113160,219.0616
7,0.023228,24,166535,249.4837
8,0.014830,15,110152,218.0806
9,0.029897,27,172403,196.3616
10,0.021931,20,136960,210.1472
11,0.008849,9,73019,192.7258
12,0.011489,13,91189,173.8332
13,0.007919,11,81957,234.3493
14,0.017766,20,139001,256.5309
15,0.021618,24,155502,256.7982
16,0.021994,22,152049,230.7295
17,0.007917,11,79390,195.6045
18,0.014157,16,112765,221.8846
19,0.018684,20,134109,229.4767
20,0.033133,31,199678,223.5046
21,0.039349,34,208483,316.8779
22,0.052743,44,287248,332.3773
23,0.019945,21,145647,196.2991
24,0.019459,21,132681,263.6939
25,0.029108,27,173839,263.2744
26,0.017274,18,122045,303.8634
27,0.029420,26,175996,214.9468
28,0.015820,18,126720,242.0874
29,0.026951,27,172534,203.5769
30,0.018935,22,144494,230.4171
31,0.055150,48,283771,237.8220
32,0.005680,8,65745,166.2837
33,0.123252,81,473736,229.4706
34,0.026435,26,160274,174.9276
35,0.006977,9,67459,221.4195
36,0.056727,47,293786,289.3390
37,0.007637,9,72918,179.9344
38,0.035597,35,206525,249.7299
39,0.024898,26,167241,241.7356
40,0.018715,22,140524,240.1705
41,0.017497,20,141788,210.8587
42,0.027257,24,154774,209.3159
43,0.010148,12,89720,177.9490
44,0.011394,15,108075,264.3168
45,0.015361,18,125000,256.9821
46,0.073969,57,357171,360.0494
47,0.011962,13,93734,209.5953
48,0.015821,19,128756,232.7872
49,0.006557,9,73078,212.0154
50,0.013501,15,104068,209.5811
51,0.013193,14,104244,202.0125
52,0.034175,34,231520,221.0210
53,0.015467,17,107346,261.6469
54,0.012679,15,108269,187.9081
55,0.060235,49,302771,222.3761
56,0.029133,27,176571,216.9297
57,0.006788,8,68932,174.7579
58,0.011716,11,81437,198.8696
59,0.088156,65,392074,265.1255
60,0.011216,12,90168,206.6484
61,0.013879,18,128298,255.4829
62,0.006317,9,72649,228.1983
63,0.034883,32,195314,279.8306
64,0.022749,24,160601,217.1103
65,0.010812,11,82269,184.9370
66,0.026226,27,171642,243.8830
67,0.039851,37,239261,237.9963
68,0.010667,11,78759,178.2520
69,0.063841,52,330048,260.3004
70,0.038077,35,226536,262.5895
71,0.032624,30,201525,223.3924
72,0.017309,18,119513,226.3733
73,0.022680,24,162567,209.9085
74,0.037466,34,218358,247.6319
75,0.016504,17,125000,209.7389
76,0.019963,21,149907,251.8182
77,0.031882,29,187219,208.3531
78,0.008371,10,78825,177.8429
79,0.023018,24,160518,288.6884
80,0.038832,36,222233,206.6943
81,0.028127,26,166711,219.2379
82,0.025187,23,150354,210.7476
83,0.013160,14,103565,198.6002
84,0.028713,27,177639,268.0179
85,0.065611,53,305315,207.1355
86,0.009699,13,86008,241.8436
87,0.009050,10,72800,208.8481
88,0.022747,22,139981,183.9238
89,0.042735,34,212213,231.3049
90,0.039040,37,241130,225.2854
91,0.027819,27,177518,205.2094
92,0.016875,18,121463,216.2543
93,0.008131,11,91455,192.7377
94,0.016305,19,131333,282.1236
95,0.011076,11,86890,197.0705
96,0.009977,11,82500,171.4750
97,0.019264,20,136250,200.6649
98,0.025122,26,169706,226.8994
99,0.009061,12,88440,208.3075
100,0.030689,30,206971,258.7983
