Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.001831,3.00,13178.00,149.3797
AVG,0.002925,5.24,19442.36,175.7266
MEDIAN,0.002358,4.00,17122.00,168.6542
MAX,0.009558,21.00,52433.00,278.6623
STDEV,0.001432,3.31,7351.94,24.2854

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.003326,6,20496,164.3552
2,0.007063,15,44177,175.0426
3,0.002468,4,16308,173.9632
4,0.002136,3,14346,155.5020
5,0.002335,4,16729,181.2893
6,0.002368,4,17175,170.2905
7,0.002147,3,13178,152.2812
8,0.003106,5,18548,197.2353
9,0.002259,4,16803,198.0692
10,0.002296,4,17483,156.5833
11,0.002426,4,18027,189.5881
12,0.001842,3,14256,159.9756
13,0.002612,5,19120,167.3808
14,0.003036,6,21090,167.7564
15,0.001987,3,14779,151.1072
16,0.001884,3,14469,153.1894
17,0.003503,7,25036,173.8239
18,0.005871,12,35624,278.6623
19,0.009558,21,52433,276.9885
20,0.005222,11,32055,188.1595
21,0.002918,5,18436,157.4959
22,0.001862,3,14077,162.8759
23,0.001914,3,14321,161.5524
24,0.001908,3,14283,170.6653
25,0.002346,4,17412,183.6649
26,0.002335,4,16657,155.8201
27,0.002606,5,19917,165.9384
28,0.002289,4,16586,175.1024
29,0.002632,5,19144,187.9207
30,0.002248,4,16447,153.3283
31,0.002792,5,19288,162.3450
32,0.007067,15,39766,230.2340
33,0.002846,5,18793,176.5131
34,0.002764,5,18347,191.8001
35,0.001838,3,14934,153.8922
36,0.005186,11,32034,223.3978
37,0.001831,3,14577,149.3797
38,0.002006,3,14395,155.4452
39,0.002624,5,18413,172.6510
40,0.002045,3,14035,170.8529
41,0.003092,5,18369,170.9821
42,0.001948,3,14620,157.6066
43,0.002398,4,17119,187.1277
44,0.002169,3,13850,160.2069
45,0.003101,6,19581,204.9673
46,0.002922,5,19347,154.1880
47,0.003310,6,20075,189.5548
48,0.001879,3,14101,160.2158
49,0.002333,4,17072,173.8625
50,0.003970,8,24721,170.7106
51,0.003859,8,27644,192.5638
52,0.002065,3,14151,165.6382
53,0.007395,16,41374,197.4028
54,0.001879,3,13677,164.6594
55,0.001860,3,14525,154.5997
56,0.002866,5,20562,175.2887
57,0.001846,3,14396,157.1879
58,0.002307,4,16833,170.8486
59,0.003690,7,24928,176.1582
60,0.002276,4,17091,189.2626
61,0.002349,4,16214,176.1512
62,0.003202,6,20107,202.8248
63,0.002837,5,18670,170.4729
64,0.002086,3,14528,165.4557
65,0.001996,3,14276,155.4800
66,0.002424,4,15929,158.4535
67,0.001869,3,13676,158.2064
68,0.002611,4,17125,182.4225
69,0.001929,3,14610,155.8551
70,0.002720,5,18914,157.9361
71,0.002239,3,14036,154.8297
72,0.002202,4,17433,197.7130
73,0.002762,5,19192,186.0801
74,0.002016,3,14400,160.2947
75,0.001886,3,14632,162.7321
76,0.002720,5,18578,166.2719
77,0.002406,3,14072,156.6101
78,0.002085,3,14144,158.9218
79,0.001884,3,15175,160.3005
80,0.001980,3,15113,151.0638
81,0.003557,7,24147,157.4045
82,0.005031,10,29507,208.5278
83,0.002323,4,17196,173.1542
84,0.001998,3,14342,166.4467
85,0.002692,5,18263,181.2212
86,0.002261,4,16311,194.1449
87,0.002010,3,14168,155.3824
88,0.001960,3,15058,160.4722
89,0.006045,13,37942,231.0363
90,0.002296,4,18086,184.8987
91,0.006144,13,35231,222.8046
92,0.003150,6,21499,155.5724
93,0.002340,4,16203,161.4641
94,0.001848,3,13702,169.5519
95,0.004508,9,28259,166.3742
96,0.006449,5,18362,193.6936
97,0.004723,10,31104,231.7029
98,0.002006,3,13701,167.6185
99,0.002424,4,16566,165.3534
100,0.003845,8,25735,222.6082
