Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,99.00%,99/100,-,-
MIN,0.004882,11.00,21257.00,172.5191
AVG,0.038870,92.92,141579.85,255.8405
MEDIAN,0.026671,69.00,107529.00,242.2760
MAX,0.157994,330.00,486761.00,398.2688
STDEV,0.034687,75.25,109182.65,49.9755

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.068703,164,268956,353.7773
2,0.022519,57,76695,375.5419
3,0.016143,41,68710,234.7586
4,0.046490,119,157651,246.3481
5,0.011914,30,50931,203.4604
6,0.055148,114,182002,357.4411
7,0.025117,65,102085,320.1087
8,0.028417,73,116809,246.3000
9,0.016224,42,66987,201.9618
10,0.030973,80,121655,238.6227
11,0.012864,33,52004,211.0276
12,0.080123,188,290131,246.1978
13,0.018057,46,71734,206.8996
14,0.023389,59,103212,208.9654
15,0.053052,120,184344,211.2274
16,0.009486,24,40950,237.2743
17,0.038597,99,140840,323.7138
18,0.032663,83,141650,284.9368
19,0.012438,32,53201,272.1625
20,0.157994,330,486761,370.1631
21,0.022570,58,86430,203.0176
22,0.013983,36,56528,206.0598
23,0.012473,32,53406,235.0486
24,0.014961,39,65078,311.9587
25,0.055252,137,193146,273.7461
26,0.104754,236,313987,233.5947
27,0.095333,219,333188,328.7827
28,0.015510,40,70185,259.0052
29,0.026671,69,117957,243.9263
30,0.006217,15,24278,230.3114
31,0.031963,83,119934,266.4224
32,0.005477,13,27644,201.8315
33,0.022276,58,93870,238.1867
34,0.012771,32,47575,248.3535
35,0.064446,158,217547,398.2688
36,0.082853,195,275571,198.6559
37,0.015646,41,62780,327.0327
38,0.021990,57,85812,282.3147
39,0.018638,48,76552,237.7324
40,0.025095,62,87876,224.7479
41,0.035803,88,150400,257.8380
42,0.008115,20,35164,172.7944
43,0.030088,78,123803,231.7732
44,0.013984,36,61360,286.3536
45,0.013167,34,55081,255.4142
46,0.028816,75,114101,216.8884
47,0.144282,310,473864,275.7572
48,0.008214,20,32403,237.1964
49,0.126829,279,412610,279.8279
50,0.107703,243,382415,210.4241
51,0.017783,46,66496,249.7538
52,0.028799,73,110127,172.5191
53,0.085534,204,288136,242.4688
54,0.016167,42,60641,258.0216
55,0.022093,57,88068,254.2359
56,0.020696,53,85798,301.3156
57,0.013223,34,54072,218.2670
58,0.127245,282,412765,268.7388
59,0.048190,121,187497,308.7254
60,0.090153,210,302731,367.4457
61,0.004882,11,21257,197.4571
62,0.040708,103,159326,271.1527
63,0.009984,25,40488,193.6819
64,0.025787,67,107529,304.4339
65,0.098425,229,327742,231.7139
66,0.155167,327,451325,254.1633
67,0.013155,34,60790,230.1502
68,0.014380,37,62253,192.0165
69,0.047901,118,189753,352.9119
70,0.041323,106,149031,295.7466
71,0.035644,90,142036,302.8461
72,0.022396,57,96036,242.1560
73,0.027810,72,109647,245.4197
74,0.022190,57,89111,370.8465
75,0.143950,305,496122,inf
76,0.029748,76,124216,218.6421
77,0.065667,161,236097,284.0732
78,0.048541,120,179530,233.4342
79,0.106846,238,382238,324.5853
80,0.027421,71,101471,203.4164
81,0.017246,44,74284,235.5373
82,0.050072,124,193209,290.6370
83,0.007957,19,32208,197.3833
84,0.053139,125,191830,227.2140
85,0.006003,13,23112,189.5402
86,0.037359,94,152505,291.8982
87,0.047241,116,181064,324.7027
88,0.017148,45,61837,189.9728
89,0.021110,55,74297,296.0194
90,0.033224,85,136258,300.0439
91,0.032228,83,136030,230.8089
92,0.094368,212,308886,237.0333
93,0.020824,54,86612,216.5796
94,0.034445,89,129357,216.4684
95,0.010905,27,51838,222.1823
96,0.008315,20,32296,223.4247
97,0.032161,82,131932,234.9532
98,0.018364,47,80887,228.8472
99,0.030319,78,128506,242.2760
100,0.021677,56,95397,218.1919
