Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.012957,7.00,117500.00,160.6137
AVG,0.029633,12.74,185374.03,201.6509
MEDIAN,0.026947,12.00,175474.00,199.4093
MAX,0.069799,24.00,306009.00,282.6770
STDEV,0.013093,4.02,45330.44,21.5523

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.016975,9,139834,205.1317
2,0.027230,12,178431,230.0338
3,0.033267,14,199841,220.0678
4,0.024193,11,167907,182.6428
5,0.017393,9,137286,198.7196
6,0.053814,20,275269,207.5600
7,0.015052,8,134284,192.8927
8,0.017197,9,136517,192.8111
9,0.017983,9,142321,177.5798
10,0.021059,10,154148,196.6104
11,0.065625,23,291966,229.1385
12,0.017110,9,141905,202.1906
13,0.024287,11,167641,194.6324
14,0.033764,12,174832,201.7741
15,0.020954,10,157225,191.0855
16,0.044162,18,235194,203.9684
17,0.051832,20,269205,183.0103
18,0.047748,19,251369,268.3736
19,0.030069,13,189007,194.4028
20,0.018038,9,145701,181.5465
21,0.027240,12,182032,213.0628
22,0.026010,12,174684,234.7749
23,0.023990,11,168364,203.9976
24,0.033047,14,200386,210.0000
25,0.023454,11,162883,186.5785
26,0.069799,24,306009,282.6770
27,0.015068,8,129455,169.6537
28,0.045868,18,256715,215.1481
29,0.017059,9,139662,188.7383
30,0.059097,22,284809,222.5228
31,0.014892,8,129168,178.7386
32,0.020962,10,156263,199.7802
33,0.033427,14,202010,214.1728
34,0.029075,13,188547,182.2981
35,0.047337,19,250419,204.3318
36,0.021108,10,156039,182.3877
37,0.023893,11,166278,226.2662
38,0.033076,14,200308,193.1004
39,0.014863,8,132288,165.3040
40,0.030227,13,192951,181.3487
41,0.036081,15,224520,204.1123
42,0.027258,12,176580,195.8268
43,0.045751,18,240856,272.3739
44,0.027245,12,179791,200.6299
45,0.036299,15,212529,212.8979
46,0.012992,7,118014,176.7539
47,0.029157,13,182905,192.2297
48,0.017983,9,149303,207.0049
49,0.021039,10,159825,199.0385
50,0.020074,10,150078,203.9525
51,0.030201,13,197802,188.7821
52,0.014956,8,134363,187.2675
53,0.012957,7,117500,169.8391
54,0.014841,8,126463,187.9872
55,0.029295,13,182497,174.7768
56,0.033071,14,207705,210.4761
57,0.037938,16,216962,230.9026
58,0.029240,13,184615,219.5323
59,0.066576,23,301414,217.0703
60,0.030371,13,190094,195.8529
61,0.044097,18,240151,232.5973
62,0.030114,13,191809,180.6271
63,0.018127,9,149191,197.1698
64,0.024017,11,165304,182.3203
65,0.020877,10,156161,203.4396
66,0.023964,11,166386,219.0002
67,0.025994,12,168656,215.0585
68,0.017042,9,140360,196.2878
69,0.066712,23,298542,211.5188
70,0.030568,13,190577,187.1907
71,0.023975,11,170825,195.8856
72,0.044446,18,241410,249.4366
73,0.028446,11,166397,218.7405
74,0.036006,15,216081,204.3153
75,0.023214,11,163420,217.9142
76,0.048279,19,260205,203.6583
77,0.023069,11,166300,216.7545
78,0.013171,7,124866,167.3934
79,0.017877,9,142575,215.4344
80,0.029999,13,198226,212.0369
81,0.039236,16,221810,203.2823
82,0.026871,12,176116,189.2409
83,0.017050,9,139239,180.1331
84,0.023174,11,157419,186.7516
85,0.042654,15,217100,212.4524
86,0.048155,19,250267,193.9695
87,0.023401,11,157265,218.1447
88,0.017599,9,137704,177.1499
89,0.023997,11,168298,210.2968
90,0.027023,12,181563,187.0426
91,0.027294,12,181919,222.7164
92,0.025949,12,173270,171.6619
93,0.024081,11,167080,185.9206
94,0.035198,15,201298,210.4568
95,0.015117,8,131319,178.7914
96,0.024004,11,171284,160.6137
97,0.062332,22,295225,226.9345
98,0.033235,14,198902,189.2820
99,0.030043,13,189824,194.6943
100,0.026285,12,180090,182.4121
