Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.001673,3.00,6300.00,149.5162
AVG,0.003486,7.64,12337.30,182.3056
MEDIAN,0.002471,5.00,9333.00,172.9534
MAX,0.018033,45.00,52722.00,385.6368
STDEV,0.002624,7.01,7516.19,37.0036

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.002186,3,7133,155.0269
2,0.002850,6,11014,183.5830
3,0.003164,7,12760,182.8176
4,0.004538,11,16140,162.8829
5,0.002085,4,8607,174.9294
6,0.003114,7,11770,164.1348
7,0.003523,8,12768,238.9954
8,0.007763,15,19357,221.9122
9,0.002294,4,8388,165.0159
10,0.001673,3,7413,172.8318
11,0.002067,4,7769,168.4850
12,0.002036,4,8219,163.7313
13,0.002435,5,9217,234.0713
14,0.001809,3,7327,154.6457
15,0.001804,3,7619,154.4402
16,0.001989,3,7209,151.5100
17,0.008309,21,26594,286.5647
18,0.013270,34,40973,203.5799
19,0.001707,3,6300,155.2937
20,0.003409,7,11725,195.1842
21,0.001764,3,6811,154.9768
22,0.002482,5,9367,178.9208
23,0.006471,16,22462,160.9770
24,0.004582,11,17209,196.3082
25,0.002496,5,9055,177.8913
26,0.002739,6,10984,173.5650
27,0.001699,3,7396,149.5366
28,0.006157,15,20601,182.8601
29,0.003475,8,13139,202.5835
30,0.009333,24,29962,385.6368
31,0.002149,4,8610,164.2616
32,0.002116,4,8266,173.0750
33,0.005278,13,17155,157.7431
34,0.007182,18,22732,175.9278
35,0.002806,6,10421,201.8538
36,0.002200,4,8528,156.4175
37,0.002025,3,6942,160.1956
38,0.001703,3,7150,158.8744
39,0.002453,5,9299,189.5178
40,0.006385,16,21150,238.6349
41,0.001714,3,7719,170.7367
42,0.002056,4,8512,181.6138
43,0.003129,7,12083,166.9780
44,0.006944,17,22523,176.8424
45,0.001930,3,7094,155.9242
46,0.003633,8,13750,172.2764
47,0.001845,3,7303,171.6596
48,0.002049,4,8098,202.3740
49,0.001882,3,7455,155.9391
50,0.004504,11,15264,370.4155
51,0.002225,4,8853,161.3059
52,0.008571,22,26497,178.1258
53,0.002081,4,8582,174.7042
54,0.003452,8,12982,178.4349
55,0.002182,4,8627,177.3343
56,0.002580,5,9185,160.1461
57,0.002190,4,8683,163.0790
58,0.004015,9,13641,159.0833
59,0.002420,5,9775,203.7400
60,0.002101,4,8391,157.4830
61,0.001769,3,7277,153.8287
62,0.004639,10,14992,217.6346
63,0.002769,6,10670,169.5947
64,0.001677,3,7470,161.2690
65,0.011316,29,33416,213.5349
66,0.002085,4,7741,171.1652
67,0.001934,3,7414,156.7827
68,0.003499,8,11770,230.6080
69,0.003111,7,11705,163.7526
70,0.003284,7,12196,178.9445
71,0.001895,3,7167,155.4940
72,0.002807,6,10568,161.7966
73,0.007586,19,25559,222.4292
74,0.002045,4,8341,182.2501
75,0.002942,5,9435,163.7816
76,0.001727,3,7009,165.9593
77,0.003321,7,12124,149.5162
78,0.002113,4,8580,189.6486
79,0.004002,9,14900,234.3427
80,0.001780,3,7699,167.5571
81,0.005006,12,17360,176.5359
82,0.003177,7,12031,216.7126
83,0.001869,3,7010,154.3052
84,0.001717,3,7373,167.4113
85,0.002828,6,10345,173.1228
86,0.007527,19,24020,189.8667
87,0.002767,6,10711,180.3648
88,0.002805,6,10927,182.3925
89,0.001703,3,7181,154.1299
90,0.002088,4,8689,153.6589
91,0.002112,4,8566,167.2089
92,0.003377,7,11604,180.4389
93,0.002460,5,9513,164.2029
94,0.001766,3,6827,170.8449
95,0.005029,12,17255,184.3881
96,0.018033,45,52722,202.7599
97,0.002266,4,8139,186.3088
98,0.001738,3,6731,164.7472
99,0.002102,4,8886,173.4325
100,0.002867,6,11249,210.2470
