Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.003313,10.00,10057.00,1.4965
AVG,0.009437,32.29,28525.63,2.3342
MEDIAN,0.008088,31.00,26179.50,2.3626
MAX,0.031331,88.00,83535.00,4.2780
STDEV,0.004703,14.03,12037.12,0.6240

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.008419,27,25634,2.0322
2,0.010154,32,27813,1.5992
3,0.014198,46,35222,2.7294
4,0.010389,32,26069,2.4001
5,0.008619,33,32101,2.7914
6,0.012513,49,40240,2.9623
7,0.007129,26,23061,2.0396
8,0.003313,14,14494,1.6542
9,0.012987,38,30498,2.4975
10,0.009742,31,26476,2.4077
11,0.005030,18,17346,1.6021
12,0.004433,19,17564,2.3202
13,0.014183,52,42641,2.7402
14,0.005296,22,22053,1.6511
15,0.010281,38,31301,2.4658
16,0.007685,24,21529,1.9741
17,0.010753,35,29456,1.6896
18,0.004712,21,17981,1.6113
19,0.010683,30,25406,2.7679
20,0.024048,69,58925,3.0947
21,0.010406,43,41857,2.9779
22,0.005628,16,15823,1.6095
23,0.015739,54,50082,1.5703
24,0.009013,32,27144,2.7989
25,0.006324,28,25416,3.1576
26,0.013103,42,34917,2.6094
27,0.010862,30,28339,1.9440
28,0.004622,20,19645,2.0159
29,0.006741,17,17496,1.8697
30,0.012637,42,36690,3.6394
31,0.005783,26,22518,2.5584
32,0.007274,33,27230,2.7232
33,0.013960,46,39710,2.4147
34,0.008399,34,28669,3.0349
35,0.008073,26,23297,2.4297
36,0.017636,56,45051,3.2929
37,0.007788,24,22138,2.6980
38,0.009166,29,24743,2.1227
39,0.004133,18,16949,1.6988
40,0.005474,15,15282,1.5796
41,0.018825,65,55837,4.2780
42,0.006819,23,22471,3.1359
43,0.007152,32,26652,2.8706
44,0.027421,77,68696,3.5342
45,0.007379,33,28678,1.6580
46,0.014666,45,41085,2.8485
47,0.011050,31,25085,2.2662
48,0.006050,11,10399,1.7245
49,0.031331,88,83535,2.2654
50,0.008319,34,29715,1.6505
51,0.007183,32,25644,2.9511
52,0.009698,43,33801,2.8031
53,0.012144,44,34674,2.5274
54,0.010931,38,31950,2.8756
55,0.007021,32,29033,1.6904
56,0.008336,34,34593,1.7207
57,0.006190,24,21963,1.7796
58,0.009156,21,19734,2.7002
59,0.007622,15,14918,1.7299
60,0.006962,21,20524,1.7209
61,0.006930,19,17471,1.5925
62,0.006222,26,23037,2.9480
63,0.007551,33,27383,2.4370
64,0.006152,28,22592,2.7816
65,0.007978,29,26334,2.1972
66,0.007280,32,27991,2.6866
67,0.012768,32,27983,2.4650
68,0.008975,34,29472,2.2350
69,0.006267,13,13698,1.6721
70,0.004492,20,17967,1.6226
71,0.006174,27,25565,1.5978
72,0.017456,56,55304,2.5178
73,0.006461,25,22668,2.1659
74,0.011246,31,26290,2.3411
75,0.009880,33,28273,3.1668
76,0.008103,28,24215,2.6525
77,0.009386,25,22368,1.6474
78,0.007876,30,25748,1.7282
79,0.005965,27,24695,1.7062
80,0.008027,22,18967,1.6265
81,0.014985,54,45944,2.5098
82,0.003998,17,16865,1.7627
83,0.007117,32,27007,2.5729
84,0.005394,13,12256,1.7121
85,0.009225,40,32630,3.0874
86,0.003931,10,10057,1.5574
87,0.007434,32,29779,2.5421
88,0.016211,48,39288,2.6243
89,0.012131,39,35843,2.1470
90,0.007146,33,28619,3.3295
91,0.015501,58,51455,3.7851
92,0.005668,22,18159,1.4965
93,0.013893,57,46683,3.7631
94,0.012863,38,34571,3.1434
95,0.006716,20,19918,1.7302
96,0.004055,17,17334,1.6264
97,0.010318,29,25579,1.7037
98,0.004023,17,16592,1.6411
99,0.010309,26,23654,2.0053
100,0.005978,27,24516,2.3840
