Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,99.00%,99/100,-,-
MIN,0.009534,7.00,114411.00,161.7056
AVG,0.026400,15.48,217610.01,207.4307
MEDIAN,0.021382,14.00,196862.00,206.6696
MAX,0.074845,34.00,422752.00,294.9160
STDEV,0.015926,6.53,75564.29,24.2274

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.016433,11,165157,187.9390
2,0.033039,20,269447,212.2299
3,0.027879,17,238282,219.2507
4,0.012091,9,133676,189.9121
5,0.056695,27,358006,209.7902
6,0.031239,19,249939,233.7051
7,0.023641,15,212275,181.8704
8,0.026978,17,227599,195.4926
9,0.016393,11,169320,208.3602
10,0.020217,13,197056,199.3672
11,0.040448,22,296858,234.9707
12,0.025174,16,223756,189.2465
13,0.027452,17,236097,239.3988
14,0.021395,14,203799,200.4372
15,0.009571,7,114668,176.1127
16,0.019867,13,186468,214.1533
17,0.025776,16,215209,209.8877
18,0.088532,38,474436,inf
19,0.012116,9,136222,175.6773
20,0.021362,14,195253,236.3813
21,0.010637,8,132872,170.7426
22,0.063050,27,356731,211.7010
23,0.010717,8,134493,185.6516
24,0.021919,14,202837,188.9425
25,0.020030,13,195288,229.1593
26,0.010812,8,124341,178.0157
27,0.013871,10,152224,189.0565
28,0.042413,23,302272,194.5763
29,0.012151,9,136823,213.1400
30,0.031165,19,257057,246.1075
31,0.040384,22,296160,219.8847
32,0.010682,8,139304,168.5453
33,0.023573,15,203393,215.0793
34,0.071233,32,422752,294.9160
35,0.016356,11,167447,209.2613
36,0.045483,24,314745,221.2547
37,0.014387,10,157423,185.7755
38,0.014874,10,160174,210.3824
39,0.016306,11,168311,195.8081
40,0.019717,13,178913,234.1184
41,0.010755,8,133935,161.8209
42,0.073154,33,419170,266.7898
43,0.055810,27,354403,216.1236
44,0.014377,10,163010,211.7780
45,0.021959,14,206511,208.4106
46,0.072857,33,415655,242.6440
47,0.014117,10,141690,200.3004
48,0.010797,8,130423,210.1832
49,0.018224,12,181707,217.4805
50,0.074845,34,411525,226.1395
51,0.020135,13,189871,187.6159
52,0.020136,13,191136,242.6320
53,0.030762,19,251160,237.9786
54,0.012852,9,146785,183.0217
55,0.043699,21,289309,231.9632
56,0.023617,15,208284,189.4311
57,0.014631,10,153440,193.2285
58,0.015839,11,164313,223.8038
59,0.023429,15,206731,196.8842
60,0.021522,14,196862,237.3842
61,0.033318,20,261509,181.5433
62,0.029358,18,248027,198.1817
63,0.022026,14,198401,221.8875
64,0.018331,12,174889,188.6492
65,0.027096,17,228755,262.1655
66,0.027592,17,244944,227.7813
67,0.034356,20,276899,193.9927
68,0.015830,11,163006,202.3188
69,0.022533,14,203677,268.1908
70,0.023885,15,227373,219.0806
71,0.039024,22,290808,205.2980
72,0.018223,12,184630,188.4062
73,0.067769,31,400956,230.6003
74,0.009534,7,114411,165.9677
75,0.025657,16,228105,231.6879
76,0.014401,10,153432,189.5422
77,0.016322,11,176329,175.4257
78,0.027575,17,234443,195.5046
79,0.017768,12,177178,206.6696
80,0.021382,14,191014,207.1810
81,0.017769,12,179172,191.0992
82,0.010774,8,136371,188.8606
83,0.062097,29,390247,209.7721
84,0.020069,13,189222,195.7550
85,0.036135,21,280451,229.7664
86,0.014796,10,154435,191.5610
87,0.018366,12,178228,199.7670
88,0.049639,25,334254,212.4531
89,0.018209,12,180972,207.6588
90,0.014603,10,151131,199.0457
91,0.015993,11,158576,207.6400
92,0.019969,13,185868,189.1430
93,0.042205,23,303668,246.5934
94,0.027506,17,239795,197.2323
95,0.029744,18,240994,195.7515
96,0.012722,9,145385,161.7056
97,0.057952,29,345904,225.4072
98,0.031556,19,256396,204.3345
99,0.017779,12,177171,174.9102
100,0.012684,9,147798,185.1884
