Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,97.00%,97/100,-,-
MIN,0.004598,9.00,36603.00,172.6747
AVG,0.023781,45.65,144532.95,238.9816
MEDIAN,0.019024,39.00,124889.00,231.9042
MAX,0.097007,159.00,481832.00,402.0744
STDEV,0.018431,30.90,92181.29,40.9074

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.036861,73,210428,283.0783
2,0.014032,28,86088,265.9053
3,0.007372,15,51113,205.8685
4,0.029040,58,190331,207.1932
5,0.011349,24,78730,196.0662
6,0.011464,24,72599,221.8896
7,0.019086,39,136589,215.2575
8,0.027295,55,168357,233.0414
9,0.039395,69,219339,285.8614
10,0.015215,31,109608,207.9314
11,0.008159,17,58727,214.2229
12,0.005833,11,38821,182.9129
13,0.030920,61,199842,276.3669
14,0.017814,37,118381,231.7166
15,0.090293,151,434579,291.6436
16,0.011848,24,84879,198.0822
17,0.024887,50,159252,245.7949
18,0.024183,49,154374,260.8162
19,0.009574,20,69691,279.7584
20,0.008978,19,67008,177.4800
21,0.022997,46,152231,206.1770
22,0.019102,38,125267,245.5721
23,0.073622,126,377438,292.5516
24,0.097007,159,481832,260.3224
25,0.034113,67,206139,257.9005
26,0.009146,19,62347,260.9013
27,0.047635,90,281049,262.1528
28,0.025843,52,161352,232.8065
29,0.099065,162,491892,inf
30,0.019010,39,131600,230.5204
31,0.026448,54,154810,172.6747
32,0.016680,34,109589,218.0221
33,0.019873,41,135266,232.0994
34,0.036572,72,210454,337.2380
35,0.009003,19,60572,216.3427
36,0.024386,45,147514,250.6138
37,0.012834,27,73386,238.1536
38,0.029799,60,180837,217.8520
39,0.019780,41,120944,226.5233
40,0.018586,39,125380,182.1437
41,0.015489,31,91303,250.3820
42,0.008226,17,51954,192.6440
43,0.005178,10,37390,179.9452
44,0.007717,16,54607,231.9042
45,0.014814,31,103087,263.0186
46,0.021966,45,146741,227.3919
47,0.087533,144,453021,288.9149
48,0.033182,58,184272,256.5965
49,0.012345,26,76251,252.5922
50,0.015605,33,106606,249.1312
51,0.019611,41,120068,204.2954
52,0.014995,31,110303,238.6086
53,0.005764,11,40262,190.8502
54,0.019087,39,136244,219.9456
55,0.024123,49,163184,179.5348
56,0.032115,64,189271,271.1931
57,0.013603,28,77312,205.8543
58,0.014474,30,98161,223.6371
59,0.013598,28,86293,214.7520
60,0.031895,63,202842,291.6177
61,0.025140,51,145006,333.8865
62,0.030857,54,172962,211.7101
63,0.016326,34,117482,272.4012
64,0.007171,14,45467,210.7996
65,0.024368,49,151571,222.1317
66,0.049805,93,286309,238.5613
67,0.008672,18,69971,255.8126
68,0.036399,63,215336,257.4016
69,0.022795,46,149205,248.4581
70,0.036449,71,225099,282.9108
71,0.051011,93,302403,202.9524
72,0.006075,12,39670,212.2346
73,0.039129,76,244572,371.5805
74,0.019212,40,130681,225.2209
75,0.007406,15,53209,205.5872
76,0.019829,40,120457,339.5534
77,0.017590,36,124889,402.0744
78,0.054483,102,297442,241.5832
79,0.007690,16,61158,211.5898
80,0.017068,35,122305,238.0677
81,0.027503,54,172325,260.2820
82,0.007837,16,53466,206.1727
83,0.004598,9,36603,193.4113
84,0.012453,26,90967,219.5803
85,0.099922,163,493418,inf
86,0.008283,17,60621,205.5103
87,0.068803,118,349490,183.8327
88,0.019005,39,125999,223.2654
89,0.019024,40,121540,247.1801
90,0.013629,28,104578,208.0854
91,0.008254,17,60815,223.0409
92,0.019649,41,125514,244.6135
93,0.013469,28,86541,228.4157
94,0.011196,23,84842,265.5743
95,0.014672,31,92278,263.5619
96,0.037725,72,234441,293.3058
97,0.032468,65,196103,247.4259
98,0.103105,166,492555,inf
99,0.064524,110,346295,218.1385
100,0.008847,18,66169,211.0350
