Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.001197,3.00,3260.00,1.4885
AVG,0.002682,8.60,9521.16,2.0090
MEDIAN,0.002321,8.00,8645.50,1.9322
MAX,0.009216,29.00,30239.00,2.9695
STDEV,0.001318,4.95,5032.03,0.3293

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.002465,8,9161,2.1362
2,0.002270,8,8849,2.0345
3,0.003483,9,10055,1.9207
4,0.001440,4,4552,1.6487
5,0.002081,7,7688,2.1834
6,0.001198,3,3790,1.5289
7,0.001957,6,6756,1.4885
8,0.002023,6,6673,1.7951
9,0.001394,4,4709,1.6267
10,0.002321,6,7041,1.7811
11,0.001848,6,6812,1.8680
12,0.002468,8,8816,1.8235
13,0.003677,14,15350,2.1175
14,0.001874,6,6784,1.8790
15,0.002616,9,10439,1.8136
16,0.003863,15,15683,2.8533
17,0.005161,15,15974,2.4318
18,0.001379,4,4606,1.7431
19,0.001621,5,5441,2.0492
20,0.002344,8,9109,1.9310
21,0.001424,4,4575,1.8265
22,0.002320,5,5960,1.7625
23,0.001833,6,7384,2.2892
24,0.001878,6,6841,2.0342
25,0.001933,4,4459,1.7851
26,0.002798,9,9813,1.8048
27,0.003333,8,8989,2.2932
28,0.001986,6,6923,2.2678
29,0.003306,11,11435,2.3148
30,0.002807,10,10922,2.3071
31,0.002747,10,11158,1.6365
32,0.002308,8,9333,2.4616
33,0.001628,5,5409,2.0920
34,0.002081,7,7948,1.9084
35,0.001968,6,6891,1.6328
36,0.002261,8,9342,1.7183
37,0.001831,6,6576,2.2267
38,0.001258,3,3260,1.5779
39,0.003867,13,14439,2.5892
40,0.002229,7,7976,2.1343
41,0.002578,5,5748,1.9334
42,0.002050,7,7735,1.8193
43,0.002353,6,6857,1.8416
44,0.001665,5,6500,1.8035
45,0.002007,6,6807,1.7487
46,0.001462,4,4933,1.7751
47,0.001540,4,4751,1.6348
48,0.004977,19,20132,1.5821
49,0.005770,23,23069,2.5840
50,0.002074,5,6226,2.0819
51,0.001595,4,4934,1.8136
52,0.001919,4,4613,1.7705
53,0.002446,8,8475,2.0730
54,0.009216,24,24643,2.6719
55,0.003499,13,14580,2.1067
56,0.003278,11,12329,2.4437
57,0.001780,5,5916,1.7550
58,0.002094,6,6928,1.9107
59,0.003326,12,13346,1.9822
60,0.003565,12,12740,2.6079
61,0.001763,5,5850,1.8800
62,0.007062,29,30239,2.4070
63,0.001453,4,4829,1.7368
64,0.001799,5,5920,1.9578
65,0.003195,8,9077,2.4172
66,0.002987,10,10848,2.3181
67,0.002306,8,9082,2.2108
68,0.004922,17,17939,1.9036
69,0.002705,7,8122,2.0348
70,0.002293,8,9077,1.7885
71,0.003012,11,12191,1.9123
72,0.002605,9,10144,1.9608
73,0.005881,24,25241,2.8150
74,0.003236,12,13210,1.7734
75,0.002181,7,8138,1.8587
76,0.002328,8,9431,2.0882
77,0.002736,9,9831,1.5817
78,0.001720,5,5881,2.0244
79,0.001197,3,3728,1.5589
80,0.002576,9,9773,1.9799
81,0.001622,3,3380,1.5471
82,0.001402,4,4663,1.7511
83,0.001713,5,6251,1.6016
84,0.003818,15,15848,2.9695
85,0.002571,8,8975,2.6729
86,0.001915,6,6518,1.6405
87,0.002990,11,12078,2.5809
88,0.002535,8,9063,1.9892
89,0.002495,8,9045,2.0538
90,0.001865,5,5576,1.6590
91,0.003851,14,14987,2.0594
92,0.004856,16,16962,1.8004
93,0.004424,13,13749,2.2203
94,0.001496,4,4773,1.6865
95,0.003698,13,14043,2.2057
96,0.002349,8,9164,2.2406
97,0.003202,9,9786,1.8727
98,0.003085,11,12353,1.9932
99,0.006164,20,21255,2.7302
100,0.001700,5,5913,2.1585
