Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.017131,6.00,57592.00,165.3783
AVG,0.057287,13.17,95782.94,204.2214
MEDIAN,0.047185,12.00,89944.00,204.1507
MAX,0.259170,35.00,218703.00,317.2690
STDEV,0.037134,4.74,27234.90,24.2654

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.035040,10,74830,177.9706
2,0.037191,10,75997,190.0570
3,0.040841,11,82396,183.5764
4,0.211486,32,198297,240.0043
5,0.064756,15,106870,190.4293
6,0.058625,14,101472,202.1878
7,0.035739,10,80733,189.4311
8,0.041046,11,86230,177.5433
9,0.041341,11,85946,224.5120
10,0.047547,12,89047,219.7416
11,0.082220,18,121270,206.5118
12,0.035468,10,77738,209.2940
13,0.041643,11,84043,205.7023
14,0.047181,12,87820,201.7851
15,0.053788,12,90820,206.2921
16,0.043657,11,81506,211.9397
17,0.040057,10,78835,180.6070
18,0.035440,10,78463,194.9374
19,0.088029,17,116662,188.6553
20,0.047142,12,94045,235.3308
21,0.064106,14,100869,220.6022
22,0.259170,34,218703,317.2690
23,0.083817,17,121144,190.1308
24,0.032071,9,71531,183.5889
25,0.068320,15,104922,225.8345
26,0.102776,20,130566,176.7457
27,0.070839,16,109140,221.9109
28,0.069865,15,101064,205.6752
29,0.052767,13,93650,170.7689
30,0.054406,12,89412,211.4170
31,0.037814,10,82842,194.9633
32,0.057911,14,96736,224.7714
33,0.072010,15,107574,196.8224
34,0.017131,6,57592,165.3783
35,0.035577,10,75052,174.7049
36,0.065168,15,108167,220.8783
37,0.064506,15,105374,206.5268
38,0.035446,10,76445,170.4726
39,0.035319,10,77223,215.3145
40,0.033366,10,75717,185.2412
41,0.041529,11,85004,181.2980
42,0.030619,9,70715,187.9803
43,0.046874,12,87686,224.2415
44,0.024151,8,68505,196.6031
45,0.097700,20,141288,196.0413
46,0.029536,9,72989,183.4277
47,0.088321,19,127723,268.3683
48,0.041186,11,87022,240.0636
49,0.052872,13,93619,213.0451
50,0.070486,16,112829,216.7436
51,0.059490,14,102388,206.0140
52,0.036887,10,75886,185.6077
53,0.033452,10,75525,204.1599
54,0.066210,15,105315,194.8791
55,0.048275,12,86386,211.3493
56,0.047075,12,89167,225.8362
57,0.067736,14,98228,213.2889
58,0.059271,14,100471,213.9052
59,0.047020,12,89903,207.7476
60,0.134854,24,162956,268.4760
61,0.082131,18,126536,208.2697
62,0.023817,8,66634,172.7963
63,0.023880,8,64859,183.6558
64,0.041128,11,82186,204.4717
65,0.236673,35,218629,265.9407
66,0.065010,15,107861,209.4987
67,0.041946,11,85924,169.1218
68,0.023893,8,65529,189.9144
69,0.064287,15,104835,205.8671
70,0.041114,11,84064,213.6564
71,0.028718,9,69834,170.3345
72,0.044754,11,86169,178.5660
73,0.057221,13,93563,218.2513
74,0.054748,13,99735,187.9542
75,0.052918,13,90461,197.7297
76,0.047188,12,90456,181.3279
77,0.083466,17,115426,218.7625
78,0.050137,12,84628,208.3220
79,0.038688,10,76059,184.8312
80,0.053639,13,98809,183.0080
81,0.064781,15,104490,197.3576
82,0.075977,17,119844,251.8846
83,0.034188,10,72569,180.5367
84,0.056689,14,95077,231.2067
85,0.041122,11,81467,204.1414
86,0.070712,16,112561,231.4475
87,0.047093,12,90671,185.2500
88,0.024957,8,66517,197.6870
89,0.083760,17,116136,218.8564
90,0.061217,14,97918,211.8317
91,0.029584,9,71543,183.6467
92,0.036291,10,76517,215.0575
93,0.047144,12,92003,190.6449
94,0.035268,10,78790,196.9985
95,0.029547,9,71707,198.1207
96,0.076376,17,121712,214.9834
97,0.041565,11,82263,208.9130
98,0.058573,14,103278,232.2480
99,0.046911,12,90701,170.8645
100,0.047390,12,89985,193.5766
