Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.004991,8.00,19131.00,172.8793
AVG,0.040347,77.10,120311.72,302.8039
MEDIAN,0.029619,59.50,103741.50,299.6507
MAX,0.247723,350.00,458403.00,563.4723
STDEV,0.036074,57.69,78209.55,75.0941

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.036885,81,125716,354.6538
2,0.022912,48,77422,254.6357
3,0.016102,36,62879,217.0730
4,0.006834,18,33259,221.6046
5,0.014282,30,51944,254.5194
6,0.008321,22,37061,204.1578
7,0.014969,29,44997,337.5332
8,0.012922,28,43505,276.9550
9,0.019492,39,53878,228.5581
10,0.048030,92,128797,332.4346
11,0.088327,160,219694,320.9678
12,0.028041,59,107278,312.7354
13,0.041928,86,133404,304.4211
14,0.007896,18,33926,218.9635
15,0.082887,159,246784,395.2120
16,0.017717,40,74359,245.1231
17,0.013349,29,48323,300.9049
18,0.006540,17,34073,208.6961
19,0.014386,28,51251,272.1452
20,0.039897,81,124382,251.8413
21,0.011216,19,35864,210.1328
22,0.025535,54,94337,382.1010
23,0.092356,167,249242,340.5896
24,0.012866,27,45681,230.4079
25,0.023109,53,89075,267.7340
26,0.052438,108,177864,385.7165
27,0.018692,35,63169,260.4266
28,0.247723,350,458403,359.7730
29,0.050592,98,162816,283.1290
30,0.011862,23,40743,203.0732
31,0.015405,30,60817,197.6093
32,0.147701,253,356010,332.9407
33,0.053069,112,155170,334.5338
34,0.055405,115,193500,353.2999
35,0.006540,10,22714,179.2394
36,0.109551,187,255399,324.0402
37,0.050553,94,139864,422.2249
38,0.027922,60,96402,260.3589
39,0.021391,39,70719,222.7938
40,0.030204,56,84676,308.3196
41,0.098243,167,238182,523.9301
42,0.146400,252,345116,299.2060
43,0.061342,117,172490,268.6898
44,0.022090,50,88132,312.5709
45,0.036705,80,116347,217.6713
46,0.032865,72,109188,328.1709
47,0.025362,57,105554,366.7094
48,0.035550,68,104807,265.7886
49,0.010815,26,51452,192.8267
50,0.016458,36,63352,258.3923
51,0.079265,147,215917,514.2737
52,0.028391,60,109382,361.2944
53,0.006135,16,28031,221.1870
54,0.060361,125,180519,236.1003
55,0.119661,206,279255,563.4723
56,0.031646,70,111726,360.2618
57,0.015707,36,61482,198.3362
58,0.016001,35,57969,223.7731
59,0.027968,56,92676,356.9691
60,0.032085,69,106735,369.8241
61,0.015928,34,62266,332.3691
62,0.044114,82,120542,406.7445
63,0.029275,54,92909,272.5654
64,0.050544,103,168983,322.7048
65,0.021072,49,81307,303.1919
66,0.026110,57,98212,280.7693
67,0.034855,76,113652,447.9023
68,0.029887,63,109492,355.9005
69,0.018756,36,61768,303.5702
70,0.044732,89,147049,294.0390
71,0.058296,117,181319,380.6092
72,0.023559,47,78656,285.6755
73,0.023633,47,82237,245.1902
74,0.054711,102,159930,431.6622
75,0.035466,77,128021,369.8893
76,0.086791,161,247547,351.9179
77,0.029169,56,85262,260.9698
78,0.029808,56,108481,237.9733
79,0.096742,170,244243,370.1100
80,0.020975,45,66621,295.3558
81,0.029430,59,104464,368.5325
82,0.004991,8,19131,172.8793
83,0.017996,37,61312,377.5067
84,0.026703,57,91276,418.7019
85,0.102070,183,276162,253.3646
86,0.065032,124,175008,300.0955
87,0.035110,68,103019,316.1677
88,0.046158,91,134963,271.6558
89,0.063909,112,192340,311.6835
90,0.033025,64,102643,412.2716
91,0.051372,96,163988,305.1020
92,0.018835,41,79551,234.1763
93,0.009419,24,45353,229.4843
94,0.018697,43,70612,290.4066
95,0.030377,63,109223,309.7729
96,0.048958,99,177534,236.4921
97,0.052693,90,144809,342.8287
98,0.033926,65,101097,288.5966
99,0.049493,102,165640,248.4979
100,0.013225,28,50841,232.0366
