Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.001677,3.00,6103.00,153.6441
AVG,0.005168,12.17,17525.11,210.0284
MEDIAN,0.003625,7.50,12852.50,186.0130
MAX,0.028059,73.00,84981.00,482.9839
STDEV,0.004494,12.33,13788.60,68.9585

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.004283,10,17167,169.0555
2,0.004443,11,17470,304.1500
3,0.005924,15,21747,227.4871
4,0.003161,7,11464,172.3208
5,0.002849,6,10820,180.3696
6,0.004870,12,18946,205.2300
7,0.004490,9,13492,174.3919
8,0.004356,10,12931,202.7488
9,0.008199,21,24806,178.4355
10,0.002543,3,7515,163.7628
11,0.003500,8,14099,183.1280
12,0.003855,9,15148,181.2996
13,0.004928,12,18615,211.2851
14,0.012027,32,35808,305.6470
15,0.012156,32,38701,178.2972
16,0.004553,11,15696,192.8634
17,0.003178,7,13198,181.3994
18,0.002527,5,9688,174.2056
19,0.006243,16,21541,290.8430
20,0.005618,14,21127,206.6599
21,0.002604,5,9071,161.0312
22,0.015459,40,48043,445.2499
23,0.001677,3,7772,164.4671
24,0.009688,26,32079,248.6381
25,0.001705,3,7325,164.0153
26,0.006269,16,25679,238.0917
27,0.004969,12,17640,162.9798
28,0.005727,4,7533,189.2827
29,0.012161,31,41270,333.8460
30,0.002121,4,8037,155.0847
31,0.023226,61,74899,279.3429
32,0.005716,14,18880,192.9738
33,0.003517,8,13318,178.8243
34,0.002088,4,8242,191.8747
35,0.002193,4,8392,184.9434
36,0.001819,3,7508,166.9304
37,0.002435,5,9924,198.4521
38,0.001773,3,7506,153.8443
39,0.002109,4,8312,185.7887
40,0.008383,22,24959,378.6212
41,0.005520,14,19315,231.4144
42,0.002542,5,10207,175.6031
43,0.002421,5,9961,174.7406
44,0.007166,18,20566,259.3256
45,0.003627,7,11684,203.5266
46,0.014433,37,47658,482.9839
47,0.003647,8,12991,237.2538
48,0.004892,12,18030,245.2581
49,0.006471,16,22443,208.1396
50,0.001738,3,7352,173.2270
51,0.002156,4,8549,161.5959
52,0.003963,9,15159,186.2373
53,0.002641,5,9433,179.2160
54,0.002367,4,8162,179.9773
55,0.006199,5,9091,186.3676
56,0.004009,8,12945,220.4700
57,0.002868,6,11457,197.7813
58,0.002966,6,10682,192.9885
59,0.007399,19,24830,164.7703
60,0.003622,8,13316,178.6901
61,0.002079,4,7444,168.7704
62,0.002167,4,7778,199.0251
63,0.002849,6,10428,219.6139
64,0.012148,32,39343,325.3313
65,0.007932,20,20464,183.2882
66,0.005947,14,18762,261.4702
67,0.002468,5,9945,161.6208
68,0.002392,5,9633,153.6441
69,0.001739,3,6715,156.9144
70,0.001827,3,6382,165.5907
71,0.001777,3,7751,155.9960
72,0.013451,35,44779,202.6201
73,0.004934,12,16852,180.0793
74,0.012114,32,41401,315.0570
75,0.001755,3,6676,160.2857
76,0.003171,7,10434,192.8854
77,0.005054,12,18499,205.3789
78,0.002750,6,10442,216.0383
79,0.010911,28,33120,444.2150
80,0.008018,21,28901,197.4552
81,0.001713,3,7039,164.1284
82,0.002766,6,11086,199.2964
83,0.001791,3,7611,154.1477
84,0.028059,73,84981,473.2054
85,0.002125,4,8465,188.8219
86,0.013792,37,42954,357.4973
87,0.002388,5,9337,172.2669
88,0.004130,9,13096,221.3631
89,0.001798,3,6103,171.1780
90,0.004148,10,16896,173.5352
91,0.002434,5,10343,158.8315
92,0.001811,3,6878,154.7399
93,0.002134,4,8978,157.6570
94,0.002538,5,10097,189.9274
95,0.002022,4,8227,181.5585
96,0.002821,5,11156,166.3064
97,0.003640,8,12774,173.1081
98,0.001785,3,7191,164.9720
99,0.006257,16,21621,231.2229
100,0.013132,35,41730,186.3705
