Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.001278,4.00,3819.00,1.5854
AVG,0.002406,7.43,8587.57,2.3196
MEDIAN,0.002122,7.00,7943.00,2.2111
MAX,0.005626,18.00,21043.00,4.2311
STDEV,0.000924,2.64,3322.33,0.5021

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.001841,5,5243,1.8351
2,0.001631,6,7530,2.2615
3,0.003136,4,3819,1.6699
4,0.001780,7,7996,2.4622
5,0.001937,7,7219,2.1500
6,0.002492,10,10989,2.5429
7,0.003468,6,6831,2.2426
8,0.001891,7,8112,2.3090
9,0.001969,8,9480,2.8501
10,0.004103,12,14965,2.9104
11,0.002539,9,11013,2.6448
12,0.002161,7,7773,2.4083
13,0.002692,12,14180,3.3039
14,0.003623,10,11138,3.4565
15,0.002773,11,11977,2.1895
16,0.001774,7,8062,2.2726
17,0.002453,10,10635,1.7243
18,0.001754,6,6686,2.0102
19,0.005195,18,21043,3.4315
20,0.002199,9,11129,2.0173
21,0.003329,11,13311,2.4042
22,0.001354,5,5415,2.1798
23,0.001278,4,4339,1.8085
24,0.001883,7,8294,2.5258
25,0.002640,9,11074,2.7440
26,0.002757,9,10304,3.3199
27,0.002129,9,9166,2.3763
28,0.002686,6,6696,1.8409
29,0.001945,7,8131,2.2682
30,0.002031,8,8923,1.9394
31,0.001971,7,8431,2.4217
32,0.003418,7,7890,3.2235
33,0.001653,6,7416,1.9280
34,0.002225,9,10613,1.9433
35,0.002423,10,11434,3.3461
36,0.005336,6,7033,2.4993
37,0.001547,4,4610,1.7435
38,0.001335,4,4693,1.6208
39,0.002674,4,4357,1.7049
40,0.002026,5,5607,2.1105
41,0.003375,7,8155,2.1423
42,0.002301,5,5647,1.7295
43,0.003000,8,9883,2.2731
44,0.001862,6,6813,2.5810
45,0.002389,7,8528,2.3549
46,0.001523,5,5797,2.1735
47,0.003095,7,7308,2.9389
48,0.001543,6,7007,1.8908
49,0.001579,6,6950,2.1762
50,0.005101,11,13869,1.9043
51,0.001575,4,4477,1.7877
52,0.001715,7,7513,3.0082
53,0.002034,8,9682,3.1006
54,0.001557,6,6333,2.2249
55,0.002265,10,11774,3.2392
56,0.002627,8,10029,2.4830
57,0.001545,4,4117,1.7715
58,0.003947,13,16807,2.5464
59,0.001765,7,8544,2.1125
60,0.001815,7,8543,2.0072
61,0.002595,5,5328,1.7632
62,0.003322,7,7197,1.9128
63,0.002854,6,6182,2.0368
64,0.002376,7,7588,2.4036
65,0.003525,9,10711,2.2965
66,0.002304,6,7083,2.2720
67,0.001821,5,5438,1.6836
68,0.001412,4,4341,1.6799
69,0.004267,8,10368,2.4638
70,0.003160,15,19160,2.9983
71,0.002929,5,5626,2.0965
72,0.001345,5,5889,2.1955
73,0.002307,9,9493,2.0491
74,0.003172,9,11099,2.3127
75,0.001754,7,8271,2.5268
76,0.001796,6,6708,2.1178
77,0.001662,6,7040,2.1117
78,0.001724,6,6989,2.7734
79,0.002115,9,9373,1.8266
80,0.001617,6,7377,2.1973
81,0.002141,9,10829,3.0634
82,0.002137,9,9199,2.1491
83,0.002046,5,5217,2.1054
84,0.001432,5,5848,1.8286
85,0.005626,9,10312,2.6965
86,0.001660,6,6723,2.2529
87,0.001553,6,7323,1.9788
88,0.004225,16,18454,4.2311
89,0.003878,8,10104,2.6411
90,0.001785,7,8032,2.4233
91,0.002947,5,5678,1.6503
92,0.001946,7,7656,2.3521
93,0.002113,9,10583,3.4643
94,0.001715,4,4336,1.5854
95,0.001538,6,6645,2.1818
96,0.001943,8,9130,2.1143
97,0.002832,12,13984,2.5747
98,0.002766,12,15646,1.9974
99,0.001569,5,5225,1.8799
100,0.002042,5,5239,1.9802
