Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.001063,3.00,1705.00,1.5484
AVG,0.003495,14.06,7640.85,2.0916
MEDIAN,0.002844,11.00,6257.50,1.9848
MAX,0.009644,47.00,23898.00,3.8365
STDEV,0.001974,9.70,4916.39,0.4281

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.002595,6,3439,1.9801
2,0.003098,13,7007,1.9570
3,0.002429,7,3672,1.8749
4,0.005791,26,13372,3.8365
5,0.006883,29,15419,1.8157
6,0.002542,10,5659,2.0012
7,0.003283,8,4616,1.9894
8,0.006241,29,15091,2.3307
9,0.008612,42,21401,1.9400
10,0.002333,9,4976,1.9696
11,0.005994,21,11492,1.9690
12,0.002364,9,5164,1.7582
13,0.002941,11,6559,2.6642
14,0.002168,7,3921,2.3828
15,0.002512,10,5852,1.8372
16,0.004291,19,10188,3.3728
17,0.003474,14,7690,2.1556
18,0.002751,11,5982,2.8662
19,0.001432,4,2129,1.6428
20,0.001328,4,2350,1.6724
21,0.002585,10,5344,1.8153
22,0.004632,17,9210,1.7907
23,0.004397,19,10413,2.2800
24,0.003179,13,7260,1.9913
25,0.002694,11,6285,2.1297
26,0.004348,20,11147,1.9484
27,0.001743,6,3442,1.9632
28,0.009644,44,22660,2.1008
29,0.004732,21,10478,2.2218
30,0.001768,6,3423,1.6575
31,0.003624,16,8945,2.6763
32,0.003597,10,5908,1.8671
33,0.003907,18,9840,2.6781
34,0.006837,26,13077,1.8694
35,0.001949,7,4215,1.8103
36,0.001781,6,3540,1.7799
37,0.003449,15,7988,2.0644
38,0.001119,3,1705,1.5779
39,0.008325,36,19242,1.7845
40,0.004382,18,9357,2.2522
41,0.001881,7,4193,1.8245
42,0.001973,7,4075,2.4992
43,0.002695,11,6395,2.1387
44,0.002436,10,5844,2.0547
45,0.001297,4,2453,1.7903
46,0.009577,47,23898,2.8244
47,0.002320,9,5213,2.4014
48,0.001298,4,2451,1.7783
49,0.006696,32,16582,3.0976
50,0.001593,5,3123,2.0819
51,0.001888,7,4350,1.9675
52,0.003348,13,6769,1.5627
53,0.003569,15,7888,1.9571
54,0.001693,6,3804,2.2217
55,0.001119,3,1910,1.6277
56,0.002758,11,6230,2.3179
57,0.005422,20,11311,2.5284
58,0.007056,32,17404,2.0454
59,0.001587,5,3007,1.8034
60,0.001529,5,2840,1.7830
61,0.003225,8,4450,2.6832
62,0.004924,22,11108,2.0304
63,0.003718,17,8669,2.0533
64,0.002421,9,4846,2.5567
65,0.002632,7,3830,1.7627
66,0.003830,10,5500,1.5484
67,0.002460,9,5041,2.1208
68,0.001316,4,2178,1.7276
69,0.005594,26,13744,3.1426
70,0.001978,7,4336,1.6041
71,0.002533,9,5240,2.2464
72,0.002759,11,6540,1.8632
73,0.005528,26,14083,3.3921
74,0.004309,19,10812,1.7180
75,0.001063,3,1778,1.6082
76,0.002769,11,6331,1.8684
77,0.004070,18,9931,2.1037
78,0.006641,32,16624,2.7302
79,0.003501,15,8290,2.4176
80,0.001515,5,3066,1.7000
81,0.007467,34,16849,2.4819
82,0.001192,3,1848,1.5537
83,0.005668,26,13430,1.8683
84,0.003968,18,9148,2.0039
85,0.001417,3,1807,1.6334
86,0.003614,15,8470,2.4448
87,0.004414,19,10314,1.9016
88,0.003195,14,7703,2.2611
89,0.002307,9,5129,1.8166
90,0.002919,12,6349,2.0978
91,0.003483,13,6864,2.0285
92,0.007805,30,16379,2.0890
93,0.001901,6,3753,1.8297
94,0.002330,8,4670,1.8371
95,0.001916,6,3574,1.9007
96,0.002173,7,4393,1.7685
97,0.005620,20,10445,1.5673
98,0.002134,8,4761,2.0452
99,0.004047,18,9617,2.4092
100,0.001634,5,2987,2.1585
