Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,97.00%,97/100,-,-
MIN,0.005304,8.00,65973.00,171.3421
AVG,0.021115,28.64,185867.36,219.7792
MEDIAN,0.017081,25.00,162734.00,211.1482
MAX,0.068313,77.00,478275.00,367.2239
STDEV,0.015905,17.43,99894.62,33.3146

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.008198,12,95712,194.7403
2,0.017117,25,174736,221.4364
3,0.010505,16,110805,197.7348
4,0.024301,35,217340,241.5192
5,0.022081,32,193855,208.9639
6,0.071467,80,484657,inf
7,0.027589,39,262913,230.2979
8,0.030126,42,270201,222.9669
9,0.008538,13,97632,212.2912
10,0.024201,35,222315,197.6940
11,0.009687,15,111213,230.2465
12,0.015229,23,156510,216.9165
13,0.015980,24,156065,250.8650
14,0.017264,25,168254,226.7549
15,0.020164,29,198092,205.3736
16,0.006397,9,71642,201.9669
17,0.017441,26,172640,241.5096
18,0.012390,19,134604,236.5178
19,0.064832,75,439745,288.5751
20,0.009081,14,101759,192.8150
21,0.015823,24,148621,248.7218
22,0.046148,56,361660,286.5657
23,0.006088,9,75038,190.1469
24,0.022231,31,208062,283.0164
25,0.016762,25,158908,203.1605
26,0.011005,17,119785,211.1482
27,0.018029,26,182772,198.0565
28,0.008788,13,98929,199.3858
29,0.008027,12,90002,227.1792
30,0.017612,26,175899,208.2377
31,0.009687,15,106427,212.1130
32,0.005304,8,65973,171.3421
33,0.013019,20,142502,201.7113
34,0.054833,64,386973,291.0680
35,0.012484,19,120338,196.2798
36,0.012849,19,131689,205.8743
37,0.021211,31,192798,254.2587
38,0.010545,16,109034,215.8168
39,0.075140,85,485118,inf
40,0.021589,31,198982,236.1683
41,0.007908,12,88397,207.4787
42,0.043330,55,341778,243.6567
43,0.068313,77,478275,285.9780
44,0.017331,25,174916,192.4146
45,0.013798,21,148465,219.0709
46,0.006831,10,79231,190.9585
47,0.005406,8,67102,190.2051
48,0.052379,63,386544,196.1516
49,0.063669,74,436392,281.9293
50,0.022443,32,199627,245.3843
51,0.063197,74,433334,312.9123
52,0.015997,24,163458,218.7135
53,0.020754,30,197140,189.8415
54,0.023207,33,213665,216.9561
55,0.013074,20,139707,204.9306
56,0.012422,19,136477,217.3358
57,0.023582,34,215306,276.0284
58,0.011881,18,130550,185.2115
59,0.030043,43,246573,251.7505
60,0.006661,10,71293,189.6001
61,0.023274,33,228057,226.2004
62,0.017157,25,157759,206.6351
63,0.023782,34,213834,226.4804
64,0.012228,19,118504,194.6534
65,0.013540,21,129650,197.0239
66,0.017081,25,163261,190.0398
67,0.009697,15,109291,201.8531
68,0.048660,57,361820,192.1781
69,0.021320,31,195426,190.1549
70,0.013591,21,135699,227.4411
71,0.063658,73,441714,227.3571
72,0.017497,26,162734,208.8368
73,0.022672,33,206266,256.1000
74,0.020137,30,190503,182.4574
75,0.066746,65,397857,253.5221
76,0.015082,23,144750,284.4656
77,0.010872,17,122472,190.6810
78,0.012330,19,132695,197.7278
79,0.020822,30,186886,238.7563
80,0.006657,10,80877,206.0672
81,0.005965,9,71294,189.8748
82,0.012966,20,140957,204.5345
83,0.070859,80,484846,inf
84,0.020729,30,203789,194.7474
85,0.012445,19,135965,233.1293
86,0.005344,8,67317,171.8813
87,0.011916,18,116620,192.8354
88,0.010999,17,122948,202.8848
89,0.018406,27,172628,222.9712
90,0.013735,21,142915,196.0704
91,0.033786,45,295465,215.1815
92,0.018871,28,181164,183.4172
93,0.008598,13,87662,217.3364
94,0.006909,10,84375,186.9613
95,0.024982,36,218139,220.7531
96,0.024376,35,218383,232.8173
97,0.021797,32,204545,195.6802
98,0.010929,16,116291,179.2678
99,0.047715,59,353758,367.2239
100,0.065466,76,436209,236.4368
