Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.001257,3.00,3631.00,1.5022
AVG,0.003335,9.12,9974.81,1.9728
MEDIAN,0.002467,7.00,7925.00,1.9482
MAX,0.042008,30.00,31274.00,2.7755
STDEV,0.004170,5.47,5488.05,0.2980

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.003233,6,6936,1.9783
2,0.003741,12,12956,2.0730
3,0.001909,5,5613,1.8635
4,0.008269,19,20135,2.2977
5,0.005489,15,15776,2.0083
6,0.002819,7,8044,2.0144
7,0.002506,8,8997,2.4513
8,0.002297,7,7769,2.2690
9,0.002332,7,7713,2.0414
10,0.003782,9,9908,2.5079
11,0.002234,7,7816,2.0676
12,0.002880,10,10578,1.8631
13,0.004422,16,16789,2.3732
14,0.002017,5,5691,1.8487
15,0.001780,5,6061,1.9474
16,0.004099,15,16145,1.7938
17,0.004973,19,19708,2.0737
18,0.002425,7,7796,2.0739
19,0.003597,7,7818,1.8946
20,0.002933,6,7073,1.9594
21,0.002428,7,7803,2.1043
22,0.001543,4,4957,1.6341
23,0.003073,11,11865,1.9702
24,0.002397,7,7879,1.6506
25,0.003039,8,8809,2.2428
26,0.007913,30,31274,2.0313
27,0.001483,4,4919,1.8883
28,0.004259,17,18136,2.1182
29,0.001547,4,4541,1.5868
30,0.002267,8,8769,2.2128
31,0.005802,23,23401,2.6940
32,0.001971,7,8107,1.6389
33,0.001470,4,4798,1.6757
34,0.001988,6,6489,1.8517
35,0.003538,8,9094,2.4217
36,0.003663,14,14804,1.8728
37,0.002887,9,9733,1.9659
38,0.002240,6,7153,2.0839
39,0.002182,7,7891,1.7035
40,0.008440,5,5771,1.8397
41,0.003602,14,14837,2.6822
42,0.001545,4,4791,1.6847
43,0.002321,7,7835,2.4395
44,0.002002,6,6848,1.9792
45,0.002710,8,9201,2.1276
46,0.002629,9,9667,2.3850
47,0.001751,5,5714,1.7004
48,0.042008,24,24590,2.5812
49,0.002558,9,9569,2.0496
50,0.002056,6,6870,2.1593
51,0.007031,13,14296,2.7063
52,0.004989,20,20684,2.0536
53,0.001429,4,4641,1.5112
54,0.001717,5,5601,1.7893
55,0.002830,10,11015,1.5022
56,0.001782,3,3668,1.6384
57,0.006284,21,22097,2.7755
58,0.001400,4,4811,1.6423
59,0.001486,4,4998,1.6657
60,0.006129,25,25517,1.5492
61,0.001417,4,4796,1.8319
62,0.002275,8,8925,2.2513
63,0.001886,6,6831,1.9852
64,0.002612,9,10059,2.1962
65,0.002407,8,8642,1.5196
66,0.003574,13,13821,1.7211
67,0.001898,4,4753,1.6941
68,0.001257,3,3631,1.5725
69,0.002727,6,7011,1.6791
70,0.001661,5,5690,1.5552
71,0.002207,7,7844,1.7528
72,0.001438,4,4966,1.7588
73,0.003042,11,12225,1.7593
74,0.002174,7,7897,1.9808
75,0.002777,6,6813,1.8573
76,0.002655,9,9698,2.0726
77,0.002029,6,6942,1.7632
78,0.001783,5,5701,2.0942
79,0.002796,5,5878,1.8919
80,0.002239,7,7943,1.9456
81,0.001634,3,3687,1.5993
82,0.004690,18,18732,1.8325
83,0.001471,4,4548,1.5796
84,0.002182,7,8110,1.8706
85,0.002236,7,7816,1.7530
86,0.004132,15,16170,1.8984
87,0.002719,9,10083,2.2958
88,0.001915,6,6817,1.7959
89,0.004887,17,17678,2.0588
90,0.002247,7,7907,1.6274
91,0.003939,14,15154,2.1030
92,0.004727,17,17854,2.5703
93,0.004372,16,17030,2.5154
94,0.002664,8,8752,1.9511
95,0.003058,11,11835,2.1327
96,0.002217,7,8064,2.2235
97,0.003601,13,13722,1.7925
98,0.001432,4,5139,1.9491
99,0.002870,10,10860,1.9456
100,0.001530,4,4692,1.6919
