Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.005374,12.00,22327.00,167.2466
AVG,0.030497,68.43,104410.24,256.4453
MEDIAN,0.022059,53.50,83266.00,249.3343
MAX,0.165233,303.00,405715.00,392.4835
STDEV,0.026260,51.81,73269.72,46.3016

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.012105,30,49385,281.2793
2,0.015598,39,57546,246.9603
3,0.021023,51,77314,219.5010
4,0.006775,16,29578,225.9205
5,0.026519,62,79594,341.9414
6,0.020203,49,77158,227.4243
7,0.012816,31,54206,252.2064
8,0.057912,127,204552,384.2586
9,0.007807,19,30430,218.9852
10,0.050449,100,153801,318.2457
11,0.040222,94,141897,245.3819
12,0.022292,54,82027,321.7085
13,0.006505,15,28402,167.2466
14,0.023292,56,84505,211.9660
15,0.006747,16,28851,175.0435
16,0.016800,41,57725,206.3397
17,0.034763,82,126129,285.0196
18,0.008463,19,27300,277.7771
19,0.068080,145,213525,273.5856
20,0.005374,12,22327,277.6688
21,0.025288,61,90954,235.5481
22,0.037145,88,129024,233.9820
23,0.032714,76,119180,294.3093
24,0.036161,86,121358,253.0935
25,0.044049,103,142559,279.5650
26,0.011694,29,45116,308.8108
27,0.040937,95,142207,249.2184
28,0.023639,57,89278,310.7589
29,0.028739,68,100116,249.4502
30,0.032328,73,112988,226.2543
31,0.018032,43,80907,211.1500
32,0.012821,32,47305,219.7509
33,0.007432,18,29401,176.2661
34,0.016600,40,69800,222.3314
35,0.030267,72,100252,194.5943
36,0.083360,173,269622,243.6346
37,0.005972,14,25949,229.9394
38,0.021695,53,73631,267.4011
39,0.040050,94,137583,272.6368
40,0.009144,22,40435,215.0695
41,0.019793,48,80776,196.8967
42,0.112637,225,316997,315.4982
43,0.075898,148,221656,275.3781
44,0.030464,72,107088,234.3315
45,0.028258,67,108366,226.3841
46,0.009436,23,39133,232.7385
47,0.009424,23,39748,228.3522
48,0.005623,13,22727,213.1154
49,0.017310,43,65155,289.5037
50,0.007725,19,31872,222.9942
51,0.019074,46,71625,238.5840
52,0.095387,202,272255,216.9534
53,0.008873,22,36431,198.9980
54,0.018481,45,74142,216.3470
55,0.065295,137,215888,230.1934
56,0.014697,36,59748,200.4992
57,0.023543,57,91417,261.6022
58,0.034473,82,128875,253.0104
59,0.012937,32,52130,229.8154
60,0.039064,89,141290,251.7524
61,0.014258,35,54684,270.1971
62,0.015185,37,66756,299.2226
63,0.022991,55,91261,321.6888
64,0.042388,98,147220,240.6658
65,0.026137,63,90574,295.8668
66,0.010506,26,39620,236.2466
67,0.013182,32,52422,227.6863
68,0.095018,196,267035,392.4835
69,0.011081,27,41654,267.0475
70,0.024998,60,98823,293.6496
71,0.008236,20,37343,211.4158
72,0.014982,37,60516,297.1487
73,0.015052,37,64982,251.6368
74,0.165233,303,405715,332.0898
75,0.055192,126,178907,304.1238
76,0.018608,47,67857,217.1832
77,0.021826,52,87300,256.7777
78,0.014189,35,59229,250.9794
79,0.049481,109,168479,280.2608
80,0.074402,160,251576,312.0167
81,0.029281,70,107687,283.2871
82,0.028558,67,108055,239.0803
83,0.072233,153,230122,331.3755
84,0.070990,153,241291,242.6130
85,0.024795,60,85446,186.5185
86,0.006572,15,25756,198.5491
87,0.018611,45,74074,319.9917
88,0.058615,127,181762,283.1905
89,0.029324,66,108594,194.4104
90,0.014971,36,59836,258.9280
91,0.021821,52,89688,248.9073
92,0.032043,75,122967,213.3448
93,0.013698,34,46219,228.7678
94,0.011583,28,46029,292.6423
95,0.054525,120,197151,378.7103
96,0.019576,47,71472,369.8154
97,0.024558,59,86195,257.0004
98,0.046269,104,161955,227.2513
99,0.014124,34,53949,268.6260
100,0.074355,159,239587,277.9583
