Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.061649,7.00,120567.00,161.9892
AVG,0.123371,10.40,159175.75,197.0039
MEDIAN,0.115324,10.00,154562.00,195.3128
MAX,0.285276,18.00,245332.00,245.8332
STDEV,0.041574,2.04,23276.11,18.0030

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.084951,9,139416,172.4525
2,0.115213,10,158030,228.5865
3,0.225601,16,221313,241.3207
4,0.084862,9,141637,182.5915
5,0.110438,10,156661,188.4625
6,0.115435,10,154907,221.7237
7,0.094118,9,145847,189.0389
8,0.166696,13,189783,210.6200
9,0.076019,8,133865,168.8528
10,0.087227,9,141283,197.5594
11,0.124159,10,160266,188.7667
12,0.103238,9,145235,187.7802
13,0.113185,10,153794,180.9384
14,0.109823,10,154077,188.8645
15,0.128874,11,167316,191.8810
16,0.085181,9,139984,201.9699
17,0.075085,8,130179,174.1273
18,0.086267,9,138193,177.8384
19,0.108894,10,152658,171.5502
20,0.088719,9,139523,187.1945
21,0.140056,12,174909,225.7615
22,0.133712,11,176587,194.8258
23,0.131338,11,170991,185.8199
24,0.092931,9,142920,187.4113
25,0.075694,8,131589,175.2500
26,0.135983,11,166300,184.5926
27,0.101655,9,143532,207.3302
28,0.115776,10,158377,201.5884
29,0.084720,9,141076,209.4381
30,0.129309,11,165522,196.4139
31,0.107212,10,152364,230.7932
32,0.146776,11,164827,207.8743
33,0.123927,10,158382,206.9006
34,0.126125,10,154182,161.9892
35,0.105762,10,153552,219.9390
36,0.091344,9,138964,190.0878
37,0.186360,14,204199,223.4913
38,0.185468,14,200776,184.1062
39,0.141055,12,171714,211.5975
40,0.091852,9,143018,195.7999
41,0.074138,8,130832,169.4649
42,0.091305,9,144599,202.0110
43,0.073709,8,137947,181.2512
44,0.129790,11,169973,198.7761
45,0.245706,17,236830,189.6821
46,0.193566,14,196214,214.6502
47,0.138516,11,162522,212.2744
48,0.061649,7,120567,166.9882
49,0.073691,8,136349,180.3690
50,0.103906,10,149098,177.4682
51,0.092546,9,142799,193.0381
52,0.110361,10,157837,174.7005
53,0.132666,11,167463,181.2243
54,0.223312,15,210040,214.0885
55,0.222323,15,202244,206.7500
56,0.101856,9,145133,196.4200
57,0.137527,11,167062,208.9011
58,0.285276,18,245332,236.2404
59,0.187291,13,191521,234.3657
60,0.134398,11,163650,180.5447
61,0.089315,9,141627,213.6904
62,0.121397,10,156410,179.3899
63,0.164514,12,175165,193.9769
64,0.145198,11,167136,206.9525
65,0.101241,9,142329,207.5271
66,0.124248,10,156868,202.7281
67,0.183383,13,189608,211.5656
68,0.180200,13,185085,198.4622
69,0.128761,10,154217,202.1665
70,0.126726,11,162910,209.5177
71,0.095285,9,139581,180.9402
72,0.104208,9,143230,177.0720
73,0.077586,8,133978,198.2021
74,0.140383,11,158124,208.5409
75,0.078163,8,134170,189.1946
76,0.077785,8,135184,178.6165
77,0.196996,13,197654,221.7478
78,0.121263,10,153329,204.4527
79,0.114354,10,150476,245.8332
80,0.108110,9,143584,190.2255
81,0.105928,9,145665,190.1287
82,0.121487,10,157367,196.6752
83,0.091672,9,138590,188.3074
84,0.193096,14,196362,178.3926
85,0.108445,10,155006,192.7905
86,0.143049,11,166059,196.2319
87,0.153758,12,173094,188.9938
88,0.154236,12,179108,219.1584
89,0.098700,9,145665,172.5954
90,0.088212,9,141044,183.8841
91,0.149478,12,178096,228.0568
92,0.077803,8,131170,171.5142
93,0.137935,11,166970,197.4707
94,0.080119,8,132298,179.3967
95,0.077313,8,134329,202.5890
96,0.117821,10,153649,203.4027
97,0.111876,10,150236,192.4944
98,0.118038,10,155473,193.0350
99,0.118491,10,155760,196.4723
100,0.165982,12,185209,235.6568
