Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.004708,10.00,18803.00,182.3234
AVG,0.023454,46.17,72705.61,243.2133
MEDIAN,0.016131,36.00,57675.50,231.3319
MAX,0.237082,314.00,429400.00,383.4843
STDEV,0.028425,41.97,59922.42,43.1740

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.008117,18,34570,192.3594
2,0.008312,19,31816,205.4021
3,0.019051,41,65766,291.4957
4,0.048590,93,143440,317.3044
5,0.013420,30,54621,210.4400
6,0.008372,19,34631,222.4746
7,0.036645,73,114895,244.5118
8,0.013408,30,46684,252.9095
9,0.012436,27,45628,225.8686
10,0.028641,60,87620,332.7696
11,0.013949,32,49559,207.1182
12,0.007497,17,29952,259.6633
13,0.023498,50,73756,226.8737
14,0.024932,53,85865,294.6363
15,0.005950,13,24138,203.2567
16,0.016096,36,58976,222.0385
17,0.025440,53,85881,235.1005
18,0.050511,98,150186,383.4843
19,0.007257,16,27347,239.2126
20,0.005906,13,25908,222.8566
21,0.017806,39,67056,207.2163
22,0.018494,40,66276,214.4366
23,0.034956,71,117304,295.4184
24,0.024057,51,79125,184.2694
25,0.014423,32,53097,262.6334
26,0.023796,45,76176,344.2486
27,0.009836,22,34992,219.5929
28,0.006063,13,25673,182.3234
29,0.014433,32,54562,203.4353
30,0.007808,18,28395,194.4525
31,0.015374,34,55073,312.4339
32,0.009008,21,33186,218.5935
33,0.039520,70,108139,289.4425
34,0.009180,20,34363,199.7725
35,0.006259,14,26706,205.4233
36,0.017462,39,59804,265.1971
37,0.033794,69,113041,221.3199
38,0.012660,28,47904,224.0513
39,0.010967,25,38137,220.4536
40,0.016165,36,56375,221.8597
41,0.026855,56,92358,314.4907
42,0.008283,18,30293,218.5311
43,0.016984,37,65915,240.7577
44,0.049422,96,138412,210.8005
45,0.018637,41,65657,230.0401
46,0.007563,17,32113,186.0812
47,0.018678,41,67258,189.9487
48,0.006590,15,26274,208.5349
49,0.015222,34,53494,215.8685
50,0.011214,25,42644,248.3669
51,0.006667,15,24568,199.5856
52,0.011220,25,41806,239.0082
53,0.021456,45,75107,315.4767
54,0.014564,32,52924,224.8379
55,0.015824,36,52227,292.9030
56,0.105836,177,264983,309.7162
57,0.010126,22,36040,205.8484
58,0.010017,23,35716,205.8131
59,0.011683,26,43989,239.5384
60,0.026004,55,84382,250.2907
61,0.009844,21,33892,249.8516
62,0.007235,16,28762,220.0946
63,0.237082,314,429400,353.5147
64,0.017958,40,64241,273.7931
65,0.028593,59,87568,281.7524
66,0.018465,41,63825,271.6763
67,0.043635,87,133268,255.9530
68,0.005888,13,25172,212.6595
69,0.016229,35,59319,245.9986
70,0.061322,113,182486,263.0557
71,0.007808,18,32829,218.3055
72,0.010420,24,41329,223.1993
73,0.009691,22,39000,190.7460
74,0.024403,52,82813,256.1049
75,0.026011,54,86543,239.4769
76,0.020268,45,63164,269.4617
77,0.088628,154,241006,214.8672
78,0.008003,18,27519,264.4094
79,0.017643,39,63230,289.2400
80,0.023995,50,81269,277.5875
81,0.006269,13,21753,196.6462
82,0.049175,97,141166,265.3014
83,0.020525,45,71053,267.2551
84,0.042128,86,127396,299.8641
85,0.019595,44,65049,300.3016
86,0.014397,31,53254,287.2205
87,0.056305,107,160873,285.2339
88,0.004708,10,18803,196.2364
89,0.052873,102,157417,266.4214
90,0.022473,49,74200,185.5241
91,0.019895,43,74157,212.9509
92,0.007560,17,28712,237.8562
93,0.103208,171,256485,217.9223
94,0.007197,16,26405,183.3639
95,0.028997,61,96531,208.9231
96,0.010714,25,37848,275.0408
97,0.009984,22,36823,195.2350
98,0.025239,54,78487,324.1033
99,0.018991,42,69141,232.6236
100,0.009129,21,35590,188.7696
