Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.001098,3.00,1797.00,1.4985
AVG,0.003873,14.98,8076.88,2.1446
MEDIAN,0.003129,12.00,6619.50,2.0437
MAX,0.013121,56.00,28152.00,3.8385
STDEV,0.002570,11.32,5692.08,0.4507

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.003093,8,4592,2.2898
2,0.002252,8,4586,2.0859
3,0.013121,56,28152,3.2381
4,0.001415,4,2422,1.6822
5,0.001346,4,2354,1.7935
6,0.001630,4,2343,1.7526
7,0.001710,6,3413,1.9435
8,0.004230,18,9917,2.2721
9,0.004123,18,9796,2.6308
10,0.001833,6,3500,1.8208
11,0.002366,6,3621,1.9720
12,0.002921,12,6674,2.6239
13,0.003345,9,5135,2.9037
14,0.006069,28,14695,1.9817
15,0.001734,6,3571,1.5712
16,0.004483,17,9217,2.0089
17,0.004657,20,10505,2.9392
18,0.005092,18,9871,1.9903
19,0.008433,33,17122,2.5144
20,0.002530,10,5654,2.5215
21,0.008909,33,17356,2.0067
22,0.006263,29,15286,2.6436
23,0.007274,27,14615,2.0682
24,0.003187,11,5981,2.3781
25,0.001542,5,2800,1.6553
26,0.005143,22,11650,3.8385
27,0.005247,20,10741,2.0135
28,0.001705,6,3602,1.7352
29,0.004126,18,9746,2.6268
30,0.003163,14,7569,2.3603
31,0.003280,14,7941,1.9757
32,0.002411,7,4057,1.7130
33,0.001361,4,2465,1.8529
34,0.001358,4,2253,1.6596
35,0.001923,6,3499,1.7565
36,0.003669,14,7617,2.3741
37,0.001324,4,2508,1.7859
38,0.001777,6,3346,2.0440
39,0.001297,4,2303,1.6358
40,0.002962,12,6637,2.4179
41,0.002998,9,5057,2.0592
42,0.010954,47,23366,1.9385
43,0.005477,18,9511,2.4926
44,0.003159,13,7300,2.6970
45,0.007843,30,15437,2.4449
46,0.006082,28,14911,1.9433
47,0.001565,5,2921,1.8524
48,0.004522,20,10371,2.4834
49,0.001480,4,2467,1.8050
50,0.012062,52,26394,2.1214
51,0.004672,21,11069,2.3770
52,0.001651,6,3581,1.4992
53,0.005605,24,12475,3.0765
54,0.005818,24,12517,2.0420
55,0.004626,15,7832,2.6050
56,0.006284,23,12079,2.1325
57,0.001623,5,3062,1.8664
58,0.001098,3,1797,1.5047
59,0.003637,16,8733,1.9973
60,0.002423,8,4518,1.7151
61,0.001557,5,2945,1.6102
62,0.007936,37,19077,2.3667
63,0.001615,5,2963,2.0865
64,0.006169,28,14397,3.2166
65,0.002413,10,5672,2.2991
66,0.003320,13,7432,2.1017
67,0.001429,4,2461,1.5818
68,0.011954,47,24380,3.4299
69,0.003785,16,8761,2.2256
70,0.002522,10,5620,1.8062
71,0.002505,10,5910,1.7467
72,0.004152,18,9926,2.9508
73,0.001935,7,4150,1.5780
74,0.001753,5,3133,1.7876
75,0.003862,14,7804,2.1242
76,0.005329,19,10515,1.6412
77,0.003818,16,8330,2.4676
78,0.002552,10,5280,2.5588
79,0.004503,20,11115,2.2808
80,0.003497,9,5033,2.7475
81,0.002052,6,3530,1.7518
82,0.002881,12,6602,2.3474
83,0.003099,13,7292,2.0428
84,0.001486,4,2346,1.6872
85,0.009939,41,21114,2.1614
86,0.006107,22,11108,2.1804
87,0.003543,9,5236,1.8071
88,0.001657,5,2988,2.0223
89,0.004174,14,7726,2.1181
90,0.002649,10,5417,2.0434
91,0.001588,5,2658,1.6937
92,0.002217,7,4088,1.9331
93,0.003047,13,7435,1.8193
94,0.006428,30,15824,1.9616
95,0.001390,4,2370,1.6327
96,0.005595,21,11178,2.1879
97,0.007618,30,15959,2.2941
98,0.002590,9,5162,1.4985
99,0.002095,7,4105,2.2012
100,0.002704,11,6136,2.7339
