Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.004965,10.00,44317.00,177.9229
AVG,0.022974,36.03,120992.09,277.0263
MEDIAN,0.018665,32.00,110382.50,252.8260
MAX,0.072365,99.00,310160.00,470.2270
STDEV,0.014535,19.90,57167.49,70.6482

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.010601,17,61653,217.1609
2,0.015358,27,98119,236.2953
3,0.026803,47,147593,290.0955
4,0.027673,47,145894,277.3068
5,0.054665,79,229931,312.4915
6,0.007961,15,60744,207.9855
7,0.072365,99,310160,258.5248
8,0.010116,13,49583,212.8726
9,0.052093,72,238635,412.4554
10,0.016766,29,106937,421.8282
11,0.029640,48,149020,271.2492
12,0.051990,73,238436,249.0263
13,0.010742,22,72259,221.6380
14,0.018643,33,121832,386.7722
15,0.011289,15,58933,248.6920
16,0.008661,17,66814,234.6640
17,0.023669,37,118287,301.2856
18,0.048929,70,222561,341.0218
19,0.038350,59,179327,470.2270
20,0.025015,40,136275,253.0146
21,0.027077,39,124205,388.9624
22,0.010304,13,57049,219.6508
23,0.019954,34,119026,259.8469
24,0.061200,87,261245,422.2593
25,0.041995,61,202473,349.5323
26,0.012689,23,85942,212.6437
27,0.019958,33,109406,280.1753
28,0.013018,19,66966,232.6127
29,0.035339,53,163197,356.3683
30,0.018686,28,100471,340.6126
31,0.016854,24,93514,272.1010
32,0.004965,10,44317,196.2344
33,0.026345,47,144888,233.1726
34,0.015227,27,90934,214.6614
35,0.009927,16,60941,229.2320
36,0.061798,83,238311,281.1219
37,0.012101,23,67301,279.6125
38,0.010261,20,80873,212.3950
39,0.035710,53,158575,246.0191
40,0.015266,23,78857,243.0622
41,0.029121,42,128587,396.4404
42,0.028531,42,127325,288.0324
43,0.015099,23,89649,220.9613
44,0.043423,62,208049,337.6184
45,0.016742,29,103998,273.9446
46,0.027462,44,142264,273.2239
47,0.037638,60,188502,401.1481
48,0.011427,21,72384,290.3200
49,0.024714,42,134539,295.2329
50,0.016669,32,103902,274.1602
51,0.012112,23,81284,227.4085
52,0.009063,11,47049,204.5011
53,0.043817,67,202937,401.5074
54,0.014175,24,86990,195.4966
55,0.016376,29,115715,339.0754
56,0.014002,22,84383,219.0213
57,0.045744,72,214590,247.0994
58,0.014612,25,100831,203.1568
59,0.012416,21,77258,224.5630
60,0.007641,11,46890,215.1608
61,0.011046,17,64113,271.8376
62,0.019048,33,111359,244.2293
63,0.039260,55,172031,451.2792
64,0.034357,52,158022,411.3793
65,0.020776,33,120951,300.6878
66,0.006132,13,54118,217.0956
67,0.033250,50,150150,314.8965
68,0.026340,42,132701,247.4308
69,0.009426,18,74765,246.1664
70,0.020669,33,115028,334.0081
71,0.005568,11,46649,201.8336
72,0.015376,27,99469,207.7378
73,0.021587,38,135607,185.7312
74,0.012908,20,74801,224.6525
75,0.005766,12,49682,204.1618
76,0.010411,22,79961,251.4378
77,0.018319,32,115900,242.0516
78,0.013715,25,89455,221.8173
79,0.045505,66,204256,362.0723
80,0.034985,55,200728,312.5745
81,0.034457,49,186360,251.3828
82,0.013025,26,91919,198.2248
83,0.010065,19,70102,221.6185
84,0.031126,45,158290,390.9084
85,0.017257,28,93075,262.0476
86,0.022890,32,123997,273.5922
87,0.006763,12,49273,177.9229
88,0.025526,40,145201,258.1697
89,0.027122,47,149043,334.3895
90,0.018865,34,128323,209.2579
91,0.041359,58,170150,331.5979
92,0.006592,13,53730,236.6604
93,0.011190,21,76748,215.5814
94,0.024097,41,128882,441.0346
95,0.009805,13,54726,193.8384
96,0.019168,30,100723,266.9685
97,0.057043,84,250198,441.6874
98,0.020296,33,120789,250.0310
99,0.009202,18,75817,219.0379
100,0.016360,29,103507,252.6374
