Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.007653,9.00,80961.00,179.4270
AVG,0.022881,18.15,133432.98,235.3452
MEDIAN,0.017883,16.00,121241.50,227.0452
MAX,0.134331,63.00,371146.00,402.0099
STDEV,0.016110,8.38,47758.50,43.9299

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.015128,14,110026,214.1076
2,0.022144,19,149929,186.2144
3,0.013305,12,100252,187.1581
4,0.014208,12,95587,181.7059
5,0.018634,17,121088,181.9077
6,0.041848,28,196578,235.6083
7,0.013844,11,90249,206.4992
8,0.045382,31,184369,314.8591
9,0.015273,13,103764,191.5367
10,0.032704,24,158637,263.4194
11,0.020399,18,134336,287.0522
12,0.037288,27,182386,204.4273
13,0.019485,17,125935,245.4537
14,0.009095,10,83897,188.7491
15,0.035332,26,175371,386.8604
16,0.015370,14,114162,211.1598
17,0.020018,18,132248,231.3752
18,0.016290,15,107749,208.8163
19,0.012657,12,97334,234.4714
20,0.054207,37,232745,284.4953
21,0.012139,11,88693,202.3096
22,0.012194,12,90686,212.5167
23,0.041686,31,196060,353.0495
24,0.055167,36,254774,232.6248
25,0.013237,14,109402,210.9136
26,0.041720,30,206241,284.0979
27,0.012583,12,93668,217.5139
28,0.014271,14,108070,214.1958
29,0.018647,17,130338,246.4933
30,0.012235,10,93158,191.7738
31,0.012069,11,88269,218.7165
32,0.017636,15,115032,248.9102
33,0.011792,11,91924,185.9625
34,0.032173,22,166882,333.1985
35,0.012664,13,103513,227.0629
36,0.024104,19,142508,241.8059
37,0.134331,63,371146,402.0099
38,0.032865,24,172435,240.0963
39,0.017431,15,127007,213.7895
40,0.022052,18,140130,341.6004
41,0.010949,10,87193,200.6186
42,0.018624,17,125286,211.1061
43,0.014729,14,112103,248.0999
44,0.019778,17,129719,252.8313
45,0.019897,18,138489,204.1517
46,0.031201,23,170049,301.9388
47,0.015638,15,114464,243.3224
48,0.018425,15,111905,235.0107
49,0.015152,15,121395,230.4052
50,0.017465,14,113835,216.5573
51,0.015028,13,103992,196.3551
52,0.011998,12,92865,218.0218
53,0.026679,21,145268,209.7843
54,0.027880,22,168316,236.1906
55,0.014799,13,105646,216.5444
56,0.015924,14,109357,229.7572
57,0.016086,13,101384,202.7800
58,0.019213,17,142331,287.8201
59,0.019851,17,121820,234.7449
60,0.011406,10,84997,214.9775
61,0.017634,16,130965,193.7323
62,0.011511,11,91413,194.9254
63,0.016018,14,100922,205.6883
64,0.053111,35,245271,251.4090
65,0.014009,12,94457,255.9578
66,0.017238,15,107661,183.1729
67,0.028636,23,155395,234.6748
68,0.046602,33,228707,303.9971
69,0.026425,20,147502,289.4676
70,0.010177,10,89097,179.4270
71,0.020912,18,130939,252.9608
72,0.034795,26,169182,252.0989
73,0.025060,19,136476,195.6003
74,0.019935,18,134556,216.6401
75,0.041972,31,199224,241.9065
76,0.012631,11,91863,208.0766
77,0.059180,41,257678,285.1244
78,0.019470,18,131883,229.7812
79,0.020725,18,139922,231.1944
80,0.011871,12,91605,210.6669
81,0.012467,12,93939,191.1648
82,0.016244,14,106980,213.2786
83,0.024721,19,142094,210.9814
84,0.020918,18,136967,216.2138
85,0.029645,23,154425,235.9189
86,0.018909,16,116371,183.5599
87,0.018131,16,124583,213.4462
88,0.014423,12,102689,191.2737
89,0.009648,11,91998,217.5860
90,0.052837,37,235002,275.5139
91,0.017125,16,118832,234.5299
92,0.008500,10,82643,227.0274
93,0.015748,14,108509,260.4433
94,0.007653,9,80961,180.9187
95,0.026604,22,157763,282.1681
96,0.011387,9,81683,205.7535
97,0.020613,18,131115,299.8264
98,0.017288,15,115272,286.7221
99,0.015669,13,101102,274.5329
100,0.037356,27,198660,261.6215
