Metric,Runtime_s,Iterations,Tree_Size,Cost
SUCCESS_RATE,100.00%,100/100,-,-
MIN,0.002975,3.00,54551.00,147.4595
AVG,0.003301,3.18,57933.58,161.3239
MEDIAN,0.003133,3.00,56596.00,160.0574
MAX,0.006434,6.00,81799.00,201.1215
STDEV,0.000514,0.52,4426.96,8.7369

Run_ID,Runtime_s,Iterations,Tree_Size,Cost
1,0.003240,3,56046,161.7347
2,0.003043,3,57443,158.0789
3,0.003169,3,55789,166.8905
4,0.003157,3,55326,157.6275
5,0.002994,3,56528,171.7349
6,0.003049,3,57496,161.4172
7,0.004068,4,65557,177.2116
8,0.003266,3,56605,165.5212
9,0.003111,3,58094,163.4843
10,0.003254,3,57106,163.7328
11,0.003473,3,56690,155.4851
12,0.003126,3,58476,156.2926
13,0.003172,3,56384,155.0493
14,0.003318,3,55948,158.4778
15,0.003179,3,57456,161.6459
16,0.003049,3,57461,176.1311
17,0.003933,4,64362,160.4894
18,0.003058,3,56587,154.4012
19,0.003102,3,55191,154.7321
20,0.003039,3,56365,164.2095
21,0.003301,3,54814,154.9689
22,0.003060,3,55957,162.8759
23,0.003317,3,57289,163.9437
24,0.004903,5,71931,191.3214
25,0.003083,3,56629,153.0036
26,0.003382,3,57758,161.3841
27,0.003039,3,55868,160.8415
28,0.003018,3,58016,154.5568
29,0.003028,3,58018,172.5781
30,0.003050,3,56399,163.0990
31,0.006434,6,81799,201.1215
32,0.003012,3,56291,163.1193
33,0.003047,3,56688,158.2859
34,0.003046,3,55143,150.1391
35,0.003080,3,56561,154.5051
36,0.003085,3,57287,163.0876
37,0.003070,3,55824,155.2231
38,0.003106,3,56716,155.9569
39,0.003202,3,56334,159.5680
40,0.003098,3,55791,158.8553
41,0.003138,3,58352,161.1549
42,0.003037,3,57759,147.4595
43,0.003050,3,57128,156.9211
44,0.003083,3,56802,153.9843
45,0.003230,3,56329,169.0835
46,0.003095,3,56197,168.3814
47,0.003098,3,57547,152.4666
48,0.003109,3,56453,159.2089
49,0.003100,3,56082,152.1296
50,0.003009,3,54942,152.8541
51,0.003179,3,55194,161.3450
52,0.003000,3,57716,167.5871
53,0.003240,3,55165,155.6931
54,0.003121,3,57000,155.5819
55,0.003216,3,55457,154.5997
56,0.003061,3,55868,170.1033
57,0.003339,3,55690,165.4450
58,0.003132,3,55918,162.7445
59,0.003920,4,64111,172.7774
60,0.003134,3,54796,170.0860
61,0.004002,4,63134,161.7619
62,0.004336,4,64182,184.4089
63,0.004864,5,72834,162.5101
64,0.004153,4,66047,174.0653
65,0.003036,3,58052,160.7541
66,0.003035,3,55497,152.6344
67,0.003133,3,56091,158.2064
68,0.003925,4,65246,173.7736
69,0.003129,3,57511,155.8551
70,0.003200,3,55693,159.8330
71,0.003208,3,56907,159.6552
72,0.003057,3,55794,149.2927
73,0.003143,3,54815,157.0471
74,0.003200,3,56959,168.1902
75,0.003369,3,56358,158.1468
76,0.003021,3,56211,159.1779
77,0.003042,3,56320,161.7980
78,0.003064,3,57659,168.6353
79,0.003260,3,55696,162.5105
80,0.003137,3,56607,160.2818
81,0.003283,3,57257,150.3225
82,0.003000,3,56701,166.6745
83,0.003143,3,57015,154.9115
84,0.002996,3,55747,156.0188
85,0.003085,3,57974,160.5201
86,0.003192,3,55528,164.5493
87,0.003144,3,55956,153.3213
88,0.004142,4,65316,183.2136
89,0.003048,3,55027,158.6396
90,0.003305,3,57583,153.0302
91,0.003254,3,56776,159.5306
92,0.003920,4,65130,169.0067
93,0.002975,3,54551,151.8913
94,0.003231,3,55413,156.9367
95,0.003204,3,55624,151.4945
96,0.003049,3,55118,148.6593
97,0.003109,3,57279,150.4623
98,0.003020,3,55784,160.5574
99,0.003209,3,55130,159.3237
100,0.005040,5,74307,162.4030
